State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Dept of Defense,5107140,N/A,N/A,5353320,N/A,5077568,N/A,2976604,N/A,2822226,N/A,2233808,N/A,2119087,N/A,3032820,1880920,193400,0,229820,1989247,3131144,3109,790442,1238934,204422,10,790316,1124507,204254,10,2029610,N/A,2822226,N/A,0,1915055,0,2976604,204156,0,149636,0,53117,89475,7044,0,388514,0,0,2976429,0,2233742,0,790427,1238904,204401,10,5353090,0,0
Delaware,1515635,155647,196787,1176098,120779,1100137,142839,634741,65.2,595603,77.3,550184,56.5,518213,67.3,844755,605080,65800,0,50007,456794,668215,1082,203318,297051,49397,418,203209,265232,49357,415,501009,65.2,595603,77.3,51.5,469077,60.9,634741,182864,96.8,163663,86.6,67376,86884,9173,230,350505,185545,802322,634573,75.6,550142,65.5,203314,297022,49388,418,1175898,140020,180474
Florida,31717365,147676,183892,25947973,120813,24541817,142289,14107610,65.7,13321055,77.2,11900631,55.4,11304084,65.5,17486925,12515540,1714900,0,1186817,9843016,14832357,85783,4267560,6437184,1169874,26013,4266083,5843739,1168407,25855,10737935,65.7,13321055,77.2,50,10142816,58.8,14107610,4294149,95.5,3749695,83.4,1826637,1711146,195784,16128,8545456,190011,705248,14099655,75.4,11898955,63.6,4266885,6436963,1169097,26010,25939129,138741,169648
Federated States of Micronesia,83600,80662,103560,68972,66548,68352,84672,43208,41.7,42591,52.8,35900,34.6,35870,44.4,1800,71600,10200,0,11254,57110,608,0,25111,105,10683,1,25106,101,10662,1,25252,41.7,42591,52.8,24.4,25243,31.3,43208,3405,19.4,3024,17.2,2012,7,1005,0,5481,31211,476055,43195,48.8,35892,40.6,25110,105,10676,1,68958,77911,94454
Georgia,14040285,132238,173048,10284452,96864,9665042,119122,5681047,53.5,5311758,65.5,4622000,43.5,4370149,53.9,7628985,5812100,599200,0,267449,4173919,5836257,6827,1828406,2525384,265930,2280,1827700,2274784,265523,2142,4359020,53.5,5311758,65.5,41.1,4107530,50.6,5681047,1311121,86.4,1139865,75.1,627116,480017,31679,1053,2565943,169151,925558,5678854,63.2,4621523,51.4,1828357,2525060,265829,2277,10281932,114395,156210
Guam,226300,136516,175271,223405,134770,201674,156198,122347,73.8,110139,85.3,106986,64.5,97501,75.5,132600,74200,19500,0,8834,75667,138885,19,35091,63493,8402,0,35077,54028,8396,0,98599,73.8,110139,85.3,59.5,89120,69,122347,15962,56.8,14855,52.9,6196,8186,473,0,30644,109104,805711,122324,86.4,106977,75.6,35090,63486,8401,0,223374,157792,159859
Hawaii,2258660,159524,202388,1831838,129379,1716248,153785,1072796,75.8,999772,89.6,800980,56.6,756536,67.8,1285260,882900,90500,0,46263,612978,1078729,93868,266864,469104,46925,18087,266267,425433,46766,18070,754154,75.8,999772,89.6,53.3,709867,63.6,1072796,276771,99.9,230777,86,95968,123923,9474,1412,502205,187077,841377,1068977,88.3,799469,66,266814,467690,46889,18076,1827241,150873,186495
Iowa,4051805,128422,166863,3379054,107099,3171462,130608,1806509,57.3,1694971,69.8,1669570,52.9,1575329,64.9,2197905,1655200,198700,0,142961,1365964,1869800,329,655729,872867,140743,231,655546,778882,140671,230,1529296,57.3,1694971,69.8,48.5,1435123,59.1,1806509,503955,91.1,486591,88,256387,216941,13158,105,992508,179492,732756,1806422,67.5,1669543,62.4,655722,872849,140741,231,3379001,126257,151397
Idaho,2114940,118347,157965,1510420,84520,1509347,112733,816611,45.7,814487,60.8,721334,40.4,720040,53.8,1146780,866260,101900,0,63496,625924,819144,1856,284504,373207,63135,488,284483,371957,63114,486,658562,45.7,814487,60.8,36.9,657289,49.1,816611,247278,85.1,231771,79.7,106880,113923,10764,204,482744,166080,727609,0,0,0,0,0,0,0,0,0,0,0
Indian Health Svc,2034485,97680,N/A,1607175,77164,1474587,N/A,890131,42.7,815342,N/A,733702,35.2,676059,N/A,957405,999280,77800,0,31231,812906,763038,0,360214,342389,31099,0,359924,285091,31044,0,702710,42.7,815342,N/A,33.7,645117,0,890131,154421,0,129832,0,73593,53187,3052,0,286822,0,0,889720,0,733529,0,360139,342312,31078,0,1606576,0,0
Illinois,17410655,137397,176687,14983176,118240,13872659,140783,8531253,67.3,7886239,80,6635810,52.4,6179078,62.7,9898815,6658740,853100,0,541379,5513115,8910370,18312,2356209,3744129,529566,5906,2349719,3296411,527125,5823,6108520,67.3,7886239,80,48.2,5654211,57.4,8531253,1927996,94.4,1583968,77.5,718699,788720,73767,2782,3543058,173405,852113,8505293,78.5,6621246,61.1,2356165,3729638,529537,5906,14941869,137868,160647
Indiana,8019460,119121,155288,6566952,97545,6184330,119753,3449590,51.2,3244098,62.8,3182108,47.3,3011275,58.3,4479720,3112240,427500,0,248890,2464488,3829946,23628,1154260,1775998,244721,7129,1153991,1605724,244497,7063,2939303,51.2,3244098,62.8,43.7,2768665,53.6,3449590,932784,85.9,903816,83.2,445143,426883,28254,3536,1888024,173892,738615,3449225,60.5,3181967,55.8,1154246,1775891,244701,7129,6566514,115100,140568
Kansas,3714695,127508,167853,3003317,103089,2805014,126748,1711216,58.7,1596256,72.1,1449690,49.8,1360544,61.5,1978935,1560260,175500,0,104797,1208576,1688957,987,561202,784935,103183,370,560905,696208,103089,342,1347037,58.7,1596256,72.1,46.2,1257981,56.8,1711216,460005,96.7,397647,83.6,190877,189764,16830,176,835378,175689,781240,1711085,69.8,1449667,59.1,561195,784926,103176,370,3003183,122494,151515
Kentucky,5537675,123950,159827,4743608,106176,4467565,128941,2640025,59.1,2483240,71.7,2249191,50.3,2130134,61.5,2854935,2412640,270100,0,195214,2000677,2546966,751,905370,1150319,192422,1080,905165,1031616,192304,1049,2057548,59.1,2483240,71.7,46.1,1938607,56,2640025,686275,91.4,619258,82.5,282692,298414,37574,578,1277648,170225,737802,2639630,69.4,2249121,59.1,905358,1150291,192394,1078,4742476,124600,145492
Louisiana,5489040,118074,154136,4362761,93847,4137719,116190,2357490,50.7,2227415,62.5,2027244,43.6,1933468,54.3,2911560,2339380,238100,0,154411,1852746,2354256,1348,831755,1047745,147127,617,831332,954549,146977,610,1880791,50.7,2227415,62.5,40.5,1787162,50.2,2357490,638100,86.1,603086,81.4,286676,295328,20942,140,1266758,170947,740739,2357222,60.1,2027146,51.7,831735,1047688,147106,617,4362422,111192,139908
Massachusetts,10735900,155762,193799,9629685,139712,8934846,161287,5267614,76.4,4886808,88.2,4614981,67,4298627,77.6,5932920,4358280,444700,0,329061,3753779,5546615,230,1721848,2562325,330698,110,1716565,2252476,329491,95,4285814,76.4,4886808,88.2,62.2,3970657,71.7,5267614,1159353,99.1,1033084,88.3,468715,496076,68256,37,2148483,183736,918122,5250836,87.3,4603509,76.5,1721840,2550868,330691,110,9601176,159574,178434
Maryland,9727880,160906,206493,7786693,128798,7196070,152751,4201596,69.5,3883453,82.4,3800857,62.9,3532081,75,5562360,3725120,440400,0,293320,2911279,4571781,10313,1365082,2145418,287488,2869,1364671,1877351,287294,2765,3516744,69.5,3883453,82.4,58.2,3248129,68.9,4201596,915269,95.4,862129,89.9,409097,399997,52252,783,1751882,182603,1013960,4201022,81.4,3800665,73.6,1365045,2145295,287457,2868,7786158,150810,188419
Maine,2086600,155228,190493,1781004,132494,1673875,152814,980223,72.9,923809,84.3,901816,67.1,852392,77.8,1087380,886120,113100,0,115178,729910,935064,852,345784,442081,113737,214,345728,392800,113669,195,788497,72.9,923809,84.3,58.7,739134,67.5,980223,279296,97.9,264933,92.9,121014,121165,22666,88,528715,185342,731460,980117,82.7,901782,76.1,345778,442073,113717,214,1780888,150294,176094
Marshall Islands,51300,87823,112755,39687,67942,39581,86997,22297,38.2,22217,48.8,19283,33,19244,42.3,0,40500,10800,0,1985,37702,0,0,17296,11,1976,0,17267,9,1968,0,17313,38.2,22217,48.8,29.6,17282,38,22297,1275,12.9,1091,11,996,0,95,0,2273,22967,518339,22275,44.7,19273,38.6,17288,11,1974,0,39657,79498,102839
Michigan,13193780,132111,168225,10364171,103778,9770086,124572,5590878,56,5272495,67.2,5124730,51.3,4851244,61.9,7018320,5520960,654500,0,362946,4106832,5892831,1562,1962202,2792421,369255,852,1961592,2519866,368985,801,4756778,56,5272495,67.2,47.6,4483531,57.2,5590878,1546930,87.6,1468402,83.2,732940,668843,66111,508,2963348,167857,747353,5590468,65,5124618,59.6,1962181,2792348,369238,851,10363708,120578,153505
Minnesota,7566810,134172,174492,6521604,115639,6041948,139329,3538919,62.8,3286151,75.8,3223463,57.2,2998470,69.1,4267950,2943060,355800,0,290401,2456336,3773003,1864,1153632,1778081,291122,628,1151548,1555718,290596,608,2933529,62.8,3286151,75.8,52,2709051,62.5,3538919,868611,94.4,818321,88.9,344578,425787,47813,143,1656211,179948,822138,3527769,73.8,3215388,67.3,1153620,1770039,291101,628,6502118,136082,158365
Missouri,7679165,125120,161095,6122886,99763,5763320,120904,3305541,53.9,3109327,65.2,2858978,46.6,2703015,56.7,4322205,3045560,311400,0,202002,2242149,3677939,796,1022123,1633024,203624,207,1021796,1477638,203406,175,2656516,53.9,3109327,65.2,43.3,2500751,52.5,3305541,907601,85.5,824975,77.7,377042,410980,36880,73,1753218,165081,723060,3305155,63.1,2858915,54.6,1022112,1632991,203605,207,6122487,116937,146669
Northern Mariana Islands,82590,145195,186417,68675,120732,60318,136146,35436,62.3,31067,70.1,33427,58.8,29436,66.4,59790,20200,2600,0,765,9295,58615,0,4287,28372,768,0,4286,24382,768,0,32661,62.3,31067,70.1,57.4,28670,64.7,35436,2905,30.1,2838,29.4,451,2299,88,0,5831,60500,856921,35436,72.9,33427,68.8,4287,28372,768,0,68675,141376,170022
Mississippi,3683715,123775,161739,2673086,89817,2521897,110728,1457234,49,1369103,60.1,1234718,41.5,1170973,51.4,1977675,1539040,167000,0,71763,1109736,1490176,1411,498772,664447,71219,280,498526,601037,71140,270,1164052,49,1369103,60.1,39.1,1100384,48.3,1457234,406361,83.5,374531,77,192240,165711,16449,131,787284,161762,756887,1457023,57.8,1234651,49,498762,664400,71209,280,2672832,106005,146097
Montana,1285065,120237,152949,1056438,98845,999707,118986,572567,53.6,541060,64.4,505568,47.3,481015,57.3,653805,559960,71300,0,45496,457377,552726,839,210425,250516,44376,251,210332,226100,44334,249,461538,53.6,541060,64.4,43.2,437021,52,572567,177519,86,165030,79.9,79421,76502,8966,141,339983,164691,622497,572431,62.4,505529,55.1,210407,250500,44371,251,1056255,115111,140047
North Carolina,13909090,132618,169885,10903079,103957,10213385,124746,6066679,57.8,5679873,69.4,5049529,48.1,4753699,58.1,7660410,5591180,657500,0,405597,4149821,6347190,471,1843872,2807029,398544,84,1841060,2515363,397194,82,4651521,57.8,5679873,69.4,44.4,4357035,53.2,6066679,1554635,88.8,1386927,79.2,666584,674742,45561,40,2970465,169635,794309,6057857,67.4,5044218,56.1,1843779,2801833,398522,84,10888927,121183,154795
North Dakota,885120,116148,152111,720264,94515,682567,117302,379550,49.8,359666,61.8,326399,42.8,311072,53.5,490980,357640,36500,0,31681,292155,396238,190,129694,167965,28739,1,129501,152961,28609,1,297707,49.8,359666,61.8,39.1,282509,48.6,379550,103004,85.9,91408,76.3,44981,42658,3769,0,200663,167435,738554,378936,59.5,326052,51.2,129689,167626,28736,1,719223,112864,138898
Nebraska,2459620,127151,168660,2115706,109372,1969282,135036,1131471,58.5,1052580,72.2,1032550,53.4,965445,66.2,1399380,951340,108900,0,77421,801070,1232851,4364,377785,576079,77479,1207,377642,509232,77409,1162,955566,58.5,1052580,72.2,49.4,888527,60.9,1131471,284377,91,272992,87.4,133217,132655,6349,771,570581,182610,787184,1131200,69.9,1032466,63.8,377765,576035,77461,1205,2115355,130787,152072
New Hampshire,2082040,153124,188512,1721613,126616,1608389,145627,931120,68.5,874489,79.2,826658,60.8,780483,70.7,1137960,825180,118900,0,78961,685015,957607,30,321560,437440,67614,44,321310,391572,67560,41,759208,68.5,874489,79.2,55.8,713086,64.6,931120,246960,97.3,223473,88,94149,115155,14148,21,450296,177377,820140,930592,77.6,826449,69,321458,437358,67589,44,1720902,143580,173710
New Jersey,13712125,154378,197478,11299572,127216,10487906,151044,6344992,71.4,5895315,84.9,5597867,63,5228405,75.3,7630065,5465360,616700,0,432766,4404494,6462282,30,2072740,3086427,438562,138,2072180,2717813,438286,126,5160664,71.4,5895315,84.9,58.1,4791470,69,6344992,1386568,94,1266532,85.8,592241,589738,84514,39,2560336,173519,929299,6344161,83.3,5597686,73.5,2072707,3086341,438500,138,11298711,148309,179988
New Mexico,2825505,134751,174307,2714330,129449,2511238,154920,1497063,71.4,1380902,85.2,1291139,61.6,1196847,73.8,1472925,1214080,138500,0,96889,1152542,1459483,5416,518049,675990,95520,1580,517670,582242,95373,1562,1196220,71.4,1380902,85.2,57,1102066,68,1497063,370022,98,334910,88.7,155217,159322,19526,845,694054,183804,748268,1496768,83.7,1291055,72.2,518031,675936,95508,1580,2714000,151838,158076
Nevada,3868020,125579,162010,3303685,107257,3099015,129801,1831563,59.5,1714189,71.8,1521025,49.4,1437030,60.2,2240280,1439440,188300,0,147835,1197454,1958366,30,541882,833721,145391,31,541786,749864,145350,30,1375899,59.5,1714189,71.8,44.7,1291944,54.1,1831563,429864,86.7,381152,76.8,179021,178572,23541,18,813943,164111,779887,1831468,69.9,1520987,58,541878,833690,145388,31,3303635,126006,147533
New York State,28626435,147153,185582,25139710,129229,23577540,152850,13504624,69.4,12648253,82,12055332,62,11347524,73.6,16099155,11242280,1285000,0,1094500,9522675,14513928,8607,4408023,6604355,1040757,2197,4406288,5899089,1040058,2089,11017801,69.4,12648253,82,56.6,10310663,66.8,13504624,2980102,90.4,2743673,83.2,1304850,1268254,169619,950,5702260,172998,868482,13502943,80.5,12054622,71.9,4407858,6603951,1040630,2183,25137379,149866,170667
Ohio,14397795,123173,158025,11885383,101679,11223746,123188,6254489,53.5,5901543,64.8,5772616,49.4,5471416,60.1,7752075,5976020,669700,0,492673,4679013,6696505,17192,2177477,3113909,476293,4937,2177033,2813477,476065,4841,5299102,53.5,5901543,64.8,45.3,4998112,54.9,6254489,1771852,86.6,1695764,82.9,770562,837738,84993,2471,3498018,170942,703595,6254149,62.5,5772523,57.7,2177463,3113850,476273,4937,11885033,118842,143968
Oklahoma,4874370,123184,162223,4001703,101130,3760096,125139,2184635,55.2,2048015,68.2,1814425,45.9,1711807,57,2534550,2117220,222600,0,117847,1683899,2199721,236,738066,959989,116280,90,737840,857684,116203,80,1698644,55.2,2048015,68.2,42.9,1596101,53.1,2184635,572337,90.1,502164,79.1,257063,226270,18807,24,1089147,171484,767458,2184414,65.7,1814362,54.6,738050,959956,116266,90,4001448,120336,146588
Oregon,6515585,154481,194427,5104942,121035,4768139,142283,2765011,65.6,2582566,77.1,2504979,59.4,2351354,70.2,3548325,2653560,313700,0,212073,1943575,2945703,3591,912391,1383066,208714,808,909604,1233062,207924,764,2297428,65.6,2582566,77.1,54.5,2144585,64,2765011,691480,90.3,654708,85.5,296615,308731,49001,361,1311424,171186,850510,2756951,75.6,2499248,68.5,912387,1377346,208711,804,5090928,139563,178618
Pennsylvania,18499295,144503,181948,15803009,123442,14869625,146248,9079748,70.9,8544213,84,7238415,56.5,6848892,67.4,9650835,7759160,1089300,0,634513,6344103,8823666,727,2764650,3836721,636592,452,2762424,3449887,636158,423,6603213,70.9,8544213,84,51.6,6214104,61.1,9079748,2574127,99.9,2080126,86.9,981379,1013680,84854,213,4634337,193633,772942,9076194,81.9,7236872,65.3,2764508,3835379,636533,452,15797964,142561,166938
Puerto Rico,4921850,154112,187788,4486534,140481,4135171,157773,2473476,77.4,2278430,86.9,2140731,67,1981991,75.6,2737410,1994440,190000,0,129021,1819892,2537242,379,840576,1171712,128396,47,840196,1013516,128233,46,2012559,77.4,2278430,86.9,63,1853981,70.7,2473476,600618,99.9,535083,98.6,267453,245564,22057,9,1118269,205970,906538,2472260,86.8,2140371,75.1,840518,1171458,128348,47,4485007,157463,172800
Rhode Island,1673585,157981,195772,1426168,134625,1332244,155842,779273,73.6,727358,85.1,703819,66.4,659718,77.2,925965,681020,66600,0,51672,546274,827555,667,258841,392961,51870,147,258765,348958,51850,145,652224,73.6,727358,85.1,61.6,608143,71.1,779273,185152,99,175170,93.7,79692,89268,6163,47,359349,192118,894745,779149,84,703774,75.9,258837,392922,51869,146,1426060,153755,180442
Republic of Palau,29820,166527,213809,29936,167175,27547,197512,17409,97.2,16104,99.9,15002,83.8,13913,99.8,5220,20800,3800,0,2310,23916,3710,0,11448,1239,2315,0,11448,150,2315,0,12688,97.2,16104,99.9,70.9,11599,83.2,17409,1777,58.6,1695,55.9,1456,12,227,0,3271,107811,982861,17409,99.9,15002,98.1,11448,1239,2315,0,29936,195762,195004
South Carolina,6614685,128473,163830,5042751,97942,4774469,118252,2762159,53.6,2607068,64.6,2331280,45.3,2216236,54.9,3457065,2841820,315800,0,176576,1986075,2878939,1161,871112,1286318,173582,268,869201,1173766,173003,266,2158438,53.6,2607068,64.6,41.9,2043972,50.6,2762159,838154,89.4,746051,79.6,318110,399609,28163,169,1596526,170383,705926,2757220,62.4,2328424,52.7,871026,1283592,173538,268,5034880,113912,149654
South Dakota,1130105,127745,169289,929324,105049,871696,130580,511802,57.9,478267,71.6,445921,50.4,422264,63.3,577305,492500,60300,0,31592,383039,514617,76,180706,233577,31618,20,180650,209999,31595,20,414374,57.9,478267,71.6,46.8,390739,58.5,511802,143598,94.6,133603,88,68475,60824,4291,13,270950,178408,744122,511751,69.3,445909,60.4,180704,233569,31616,20,929276,125901,153110
Tennessee,8296750,121490,155980,6614144,96851,6289203,118238,3514076,51.5,3329628,62.6,2982784,43.7,2848373,53.5,4615650,3305600,375500,0,203610,2567558,3815913,27063,1116649,1662243,196704,7188,1116213,1528580,196455,7125,2787930,51.5,3329628,62.6,40.8,2653739,49.9,3514076,968485,84.7,878987,76.9,438495,404086,32439,3967,1946009,170196,725625,3513373,60.2,2982623,51.1,1116632,1662142,196661,7188,6613323,113328,142176
Texas,40610525,140056,188046,31306598,107969,28822481,133462,16991650,58.6,15574547,72.1,14314119,49.4,13156290,60.9,22891425,15823900,1895200,0,1217842,12069426,18018439,891,5333392,7796747,1183200,780,4901989,7166090,1087494,717,13137895,58.6,15574547,72.1,45.3,12163064,56.3,16991650,3296381,88.3,2945846,78.9,1097612,1604571,243503,161,6431969,172244,1087520,16986553,70.5,14311257,59.4,5332325,7795188,1182963,780,31300440,129871,168501
