STAID,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990
01105500,"EAST BRANCH NEPONSET RIVER AT CANTON, MA",Non-ref,NorthEast,60.7122,01,42.154544,-71.145884,MA,NA,yes,57,57,20
01105554,"NEPONSET RIVER AT GREENLODGE ST NEAR CANTON, MA",Non-ref,NorthEast,220.7016,01,42.209266,-71.145885,MA,NA,yes,5,5,5
011055566,"NEPONSET RIVER AT MILTON VILLAGE, MA",Non-ref,NorthEast,271.8387,01,42.27093,-71.06838,MA,NA,yes,12,12,12
01105583,"MONATIQUOT RIVER AT EAST BRAINTREE, MA",Non-ref,NorthEast,73.5768,01,42.220933,-70.978103,MA,NA,yes,3,3,3
01105585,"TOWN BROOK AT QUINCY, MA",Non-ref,NorthEast,11.1312,01,42.247877,-70.99727,MA,NA,yes,25,25,11
01105600,"OLD SWAMP RIVER NEAR SOUTH WEYMOUTH, MA",Non-ref,NorthEast,12.6603,01,42.190378,-70.944768,MA,NA,yes,43,43,20
01105638,"WEIR RIVER AT LEAVITT STREET AT HINGHAM, MA",Non-ref,NorthEast,39.2292,01,42.23482,-70.87199,MA,NA,yes,3,3,3
01105730,"INDIAN HEAD RIVER AT HANOVER, MA",Non-ref,NorthEast,79.5672,01,42.100657,-70.822541,MA,NA,yes,43,43,20
01105870,"JONES RIVER AT KINGSTON, MA",Non-ref,NorthEast,55.1439,01,41.990936,-70.733649,MA,NA,yes,42,42,19
011058756,"EEL RIVER AT RUSSELL MILL RD NEAR PLYMOUTH, MA",Non-ref,SECstPlain,11.502,01,41.9176,-70.62642,MA,NA,yes,2,2,2
01105876,"EEL RIVER AT RT 3A NEAR PLYMOUTH, MA",Non-ref,SECstPlain,34.9497,01,41.94177,-70.622534,MA,NA,yes,4,4,3
01105880,"HERRING RIVER AT NORTH HARWICH, MA",Non-ref,SECstPlain,25.5222,01,41.700111,-70.106962,MA,NA,yes,24,24,2
01105917,"MATTAPOISETT RIVER NEAR MATTAPOISETT, MA",Non-ref,NorthEast,61.272,01,41.662604,-70.83837,MA,NA,yes,3,3,3
01105933,"PASKAMANSET RIVER NEAR SOUTH DARTMOUTH, MA",Non-ref,NorthEast,68.0985,01,41.585382,-70.990317,MA,NA,yes,14,14,14
01106000,"ADAMSVILLE BROOK AT ADAMSVILLE, RI",Non-ref,NorthEast,22.06624,01,41.558437,-71.12921,RI,NA,NA,38,29,0
01106500,"MATFIELD RIVER AT ELMWOOD, MA",Non-ref,NorthEast,104.4702,01,42.01538,-70.96115,MA,NA,yes,2,2,2
01108000,"TAUNTON RIVER NEAR BRIDGEWATER, MA",Non-ref,NorthEast,677.6388,01,41.93399,-70.956431,MA,NA,yes,61,41,13
01108320,"CANOE RIVER NEAR NORTON, MA",Non-ref,NorthEast,57.8601,01,41.97732,-71.14394,MA,NA,yes,3,3,3
01108410,"MILL RIVER AT SPRING STREET AT TAUNTON, MA",Non-ref,NorthEast,122.022,01,41.899823,-71.08949,MA,NA,yes,2,2,2
01108500,"WADING RIVER AT WEST MANSFIELD, MA",Non-ref,NorthEast,51.7797,01,42.000099,-71.260053,MA,NA,NA,33,33,0
01109000,"WADING RIVER NEAR NORTON, MA",Non-ref,NorthEast,112.7429,01,41.9476,-71.176716,MA,NA,yes,84,60,20
01109060,"THREEMILE RIVER AT NORTH DIGHTON, MA",Non-ref,NorthEast,220.1049,01,41.866212,-71.122824,MA,NA,yes,43,43,20
01109070,"SEGREGANSET RIVER NEAR DIGHTON, MA",Non-ref,NorthEast,27.1674,01,41.840379,-71.142824,MA,NA,yes,42,42,19
01109090,"RATTLESNAKE BROOK NEAR ASSONET, MA",Ref,NorthEast,12.771,01,41.77677,-71.08921,MA,NA,yes,2,2,2
