STAID,ELEV_MEAN_M_BASIN,ELEV_MAX_M_BASIN,ELEV_MIN_M_BASIN,ELEV_MEDIAN_M_BASIN,ELEV_STD_M_BASIN,ELEV_SITE_M,RRMEAN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS
01033000,275.2,1061,87,240,129.3,89,0.193,0.157,7.8,154.7,-0.904,0.427
01033500,338.7,1108,83,319,169.9,102,0.249,0.230,9.6,123.3,-0.549,0.836
01034000,272.5,1108,71,234,144.3,75,0.194,0.157,7.2,120.5,-0.507,0.862
01034500,265.4,1593,36,230,148.0,43,0.147,0.125,5.3,126.6,-0.596,0.803
01035000,124.2,440,48,116,41.3,48,0.194,0.173,4.5,123.0,-0.545,0.839
01036500,93.2,317,30,86,42.4,32,0.220,0.195,3.0,120.9,-0.514,0.858
01037380,101.2,254,40,95,31.7,42,0.286,0.257,4.2,127.1,-0.603,0.798
01038000,109.3,335,31,97,47.6,37,0.257,0.217,4.7,212.6,-0.842,-0.539
01041000,437.1,1126,306,405,120.5,314,0.160,0.121,7.0,178.1,-0.999,0.033
01042500,425.4,1126,173,394,118.1,179,0.265,0.232,6.9,158.6,-0.931,0.364
01043500,531.0,1283,320,497,158.3,320,0.219,0.184,10.8,5.1,0.996,0.090
01044550,540.0,1098,309,514,149.4,318,0.293,0.260,11.5,106.8,-0.288,0.958
01045000,513.8,1283,179,480,155.0,179,0.303,0.273,10.6,85.8,0.074,0.997
01046000,382.8,886,109,388,75.3,114,0.352,0.359,6.4,196.8,-0.957,-0.290
01046500,447.5,1283,106,409,138.3,108,0.290,0.257,8.3,123.2,-0.547,0.837
01047000,374.1,1283,94,334,210.7,94,0.236,0.202,11.5,91.6,-0.027,1.000
01047150,424.7,1283,48,397,159.0,53,0.305,0.283,8.6,121.0,-0.515,0.857
01047200,555.8,911,280,566,114.5,283,0.437,0.453,13.3,42.6,0.736,0.677
01048000,305.1,1252,59,245,189.1,61,0.206,0.156,9.9,104.4,-0.249,0.969
01048220,271.9,492,131,268,66.8,135,0.390,0.380,7.3,115.1,-0.424,0.906
01049000,129.8,456,41,114,59.8,50,0.214,0.176,3.8,142.0,-0.788,0.616
01049265,319.1,1283,5,326,197.3,10,0.246,0.251,7.3,123.1,-0.546,0.838
01049500,84.5,238,7,78,32.4,19,0.336,0.307,4.5,126.4,-0.593,0.805
01052500,641.1,1095,382,639,125.2,402,0.363,0.360,15.4,160.9,-0.945,0.327
01053500,594.9,1227,376,578,136.8,376,0.257,0.237,11.1,245.5,-0.415,-0.910
01053600,587.7,1227,355,570,138.4,357,0.267,0.247,11.2,242.4,-0.463,-0.886
01054000,576.0,1227,250,555,141.8,256,0.334,0.312,11.2,244.9,-0.424,-0.906
01054200,622.9,1446,212,596,224.9,230,0.333,0.311,22.3,40.1,0.765,0.644
01054300,439.9,1140,192,402,186.7,193,0.262,0.222,14.0,180.4,-1.000,-0.006
01054500,539.7,1912,127,524,187.9,137,0.231,0.222,13.4,227.6,-0.674,-0.739
01055000,565.0,1147,187,579,170.2,189,0.394,0.408,16.1,169.5,-0.983,0.183
01055500,189.4,651,84,166,83.9,101,0.186,0.145,8.8,88.7,0.023,1.000
01057000,281.8,727,137,263,91.8,146,0.245,0.214,11.7,103.9,-0.240,0.971
01058500,183.3,727,63,162,87.6,63,0.181,0.149,7.4,123.2,-0.547,0.837
01059000,425.3,1912,33,432,232.3,40,0.209,0.212,11.8,176.7,-0.998,0.058
01059800,97.2,167,52,94,20.6,54,0.393,0.365,3.1,117.4,-0.461,0.887
01060000,72.3,191,0,67,30.4,10,0.378,0.351,3.7,109.8,-0.338,0.941
01064000,159.6,593,70,146,73.0,72,0.171,0.145,6.1,112.1,-0.376,0.926
01064118,137.4,593,6,121,74.4,10,0.224,0.196,5.3,122.4,-0.536,0.844
01064300,1004.6,1895,457,980,325.3,464,0.381,0.364,34.8,91.2,-0.020,1.000
01064400,455.1,958,209,428,183.3,218,0.329,0.292,23.2,49.1,0.655,0.756
01064500,547.6,1895,127,525,275.7,135,0.238,0.225,20.3,115.4,-0.428,0.904
01064801,409.5,1214,151,321,224.3,149,0.243,0.160,14.0,132.8,-0.680,0.733
01065000,296.3,1227,121,242,177.4,123,0.158,0.109,10.9,121.0,-0.516,0.857
01065500,266.3,1227,83,212,163.2,89,0.160,0.113,10.4,124.6,-0.568,0.823
01066000,330.4,1895,82,234,240.0,85,0.137,0.084,13.1,112.0,-0.375,0.927
01066500,162.4,393,83,157,45.5,84,0.256,0.239,6.2,114.9,-0.420,0.907
01067950,68.4,152,18,69,23.7,20,0.376,0.381,2.4,122.7,-0.541,0.841
01068910,169.7,334,71,169,43.7,75,0.375,0.373,4.5,125.0,-0.573,0.819
01069500,134.7,334,50,130,50.8,50,0.298,0.282,4.3,112.5,-0.383,0.924
01069700,58.4,103,15,61,13.8,17,0.494,0.523,1.8,94.6,-0.080,0.997
01072500,187.5,543,58,183,66.1,58,0.267,0.258,6.1,131.8,-0.666,0.746
01072800,164.9,408,41,157,67.9,42,0.338,0.316,4.9,132.8,-0.679,0.734
01072870,150.2,418,35,153,62.1,36,0.301,0.308,5.2,104.8,-0.255,0.967
01073000,58.0,114,21,54,19.5,24,0.398,0.355,3.0,112.7,-0.386,0.923
01073319,146.0,348,54,143,48.9,77,0.313,0.303,5.6,127.5,-0.609,0.793
01073500,107.4,348,11,100,53.4,15,0.286,0.264,4.8,117.3,-0.458,0.889
010735562,98.1,181,54,92,26.3,54,0.347,0.299,4.3,74.4,0.268,0.963
01073587,82.0,195,19,74,31.7,20,0.358,0.313,3.5,67.1,0.389,0.921
01073600,41.8,76,25,40,8.8,27,0.329,0.294,1.7,105.3,-0.264,0.965
01073785,21.8,69,1,21,8.1,7,0.306,0.294,1.7,70.6,0.332,0.943
01074520,799.6,1572,251,795,223.1,253,0.415,0.412,27.0,202.2,-0.926,-0.378
01075000,720.1,1595,189,717,254.3,192,0.378,0.376,25.0,145.0,-0.819,0.574
01075800,493.7,991,185,480,188.9,194,0.383,0.366,19.4,221.9,-0.745,-0.667
01076000,460.2,1461,145,424,197.2,163,0.240,0.212,14.9,174.9,-0.996,0.089
01076500,541.2,1589,141,500,255.1,142,0.276,0.248,19.4,174.2,-0.995,0.100
01077000,241.7,672,169,210,86.2,174,0.144,0.082,9.5,142.6,-0.795,0.607
01077400,427.3,787,185,426,116.8,185,0.402,0.400,16.7,86.9,0.054,0.999
01078000,359.6,857,140,341,108.1,141,0.306,0.280,11.4,176.7,-0.998,0.057
01081000,220.2,902,136,194,86.9,138,0.110,0.076,6.8,224.4,-0.714,-0.700
01081500,373.2,1595,79,292,232.9,80,0.194,0.141,13.3,178.2,-1.000,0.031
01082000,354.3,941,219,342,66.4,219,0.187,0.170,6.4,265.1,-0.086,-0.996
01083000,392.7,850,255,381,74.1,280,0.231,0.212,8.2,98.1,-0.141,0.990
01084000,450.2,745,271,439,68.4,274,0.378,0.354,9.1,72.8,0.295,0.955
01084500,352.2,722,184,338,77.7,184,0.313,0.286,9.7,124.6,-0.568,0.823
01085000,345.0,941,149,335,93.2,158,0.248,0.235,8.1,96.3,-0.110,0.994
01085500,326.9,941,111,323,101.6,111,0.260,0.255,8.2,95.4,-0.094,0.996
01085800,447.7,750,288,424,111.5,294,0.346,0.294,15.1,72.4,0.302,0.953
01086000,286.7,815,114,272,105.7,124,0.246,0.225,10.6,92.4,-0.042,0.999
01087000,318.1,889,130,292,114.7,134,0.248,0.213,10.5,114.4,-0.414,0.910
01088000,302.3,941,79,294,111.8,83,0.259,0.249,8.8,98.1,-0.141,0.990
01089000,207.6,450,91,201,63.3,97,0.325,0.306,5.8,186.6,-0.993,-0.116
01089100,203.4,450,84,196,64.5,84,0.326,0.306,5.8,187.7,-0.991,-0.134
01089500,239.0,703,104,229,68.4,109,0.225,0.209,6.8,170.7,-0.987,0.161
01090800,226.8,449,102,227,72.0,115,0.360,0.360,6.7,73.2,0.289,0.957
01091000,231.1,615,97,223,67.8,100,0.259,0.243,7.4,77.2,0.222,0.975
01091500,218.0,615,54,210,71.2,54,0.292,0.278,7.2,75.1,0.257,0.966
01092000,307.4,1595,33,251,191.9,34,0.176,0.140,10.3,141.3,-0.780,0.626
01093000,135.2,281,76,134,32.1,79,0.289,0.283,4.0,209.2,-0.873,-0.487
01093800,413.0,686,275,396,87.3,299,0.336,0.294,13.0,104.5,-0.251,0.968
01093852,304.6,687,82,299,84.3,82,0.368,0.359,8.6,81.7,0.144,0.990
01094000,236.5,687,45,241,113.8,61,0.298,0.305,7.3,91.7,-0.029,1.000
01094400,298.0,607,119,304,58.0,143,0.367,0.379,6.5,95.1,-0.089,0.996
01094500,254.3,607,85,268,81.3,100,0.324,0.351,6.4,96.2,-0.108,0.994
01095220,235.0,607,122,228,70.3,122,0.233,0.219,6.5,114.9,-0.422,0.907
01095375,274.5,472,165,274,47.5,187,0.357,0.355,5.3,79.7,0.178,0.984
01095505,220.9,607,74,218,71.8,74,0.276,0.270,5.4,91.1,-0.020,1.000
01096000,194.1,455,75,183,79.5,77,0.313,0.284,5.8,97.9,-0.137,0.991
01096500,190.1,607,53,171,88.3,59,0.247,0.213,5.3,87.6,0.042,0.999
01096503,135.0,330,54,124,49.8,55,0.294,0.254,5.4,88.1,0.034,0.999
010965852,105.6,193,46,103,25.6,52,0.405,0.388,3.8,178.5,-1.000,0.026
010965995,125.0,211,89,124,22.9,89,0.295,0.287,4.4,343.4,0.958,-0.285
01096835,117.7,227,61,110,33.9,64,0.342,0.295,4.7,67.5,0.382,0.924
01096840,116.9,227,60,109,33.4,64,0.340,0.293,4.7,67.1,0.390,0.921
01096885,110.5,227,52,104,33.7,63,0.334,0.297,4.6,61.1,0.483,0.876
01097000,106.3,227,44,100,34.6,47,0.340,0.306,4.5,81.0,0.156,0.988
01097300,70.2,137,47,68,14.2,55,0.258,0.233,2.9,128.7,-0.625,0.780
01097380,71.2,140,33,70,15.9,35,0.357,0.346,3.2,113.9,-0.406,0.914
01097480,107.3,209,53,101,25.7,57,0.348,0.308,4.0,11.2,0.981,0.195
01098530,88.1,209,37,86,29.3,45,0.297,0.285,3.7,78.7,0.195,0.981
01099500,80.0,227,22,73,34.0,25,0.283,0.249,3.6,81.9,0.142,0.990
01100000,248.8,1589,16,204,184.6,16,0.148,0.120,8.4,120.5,-0.508,0.861
01100505,92.7,181,57,88,24.6,58,0.288,0.250,4.2,113.9,-0.405,0.914
01100561,74.4,181,31,73,26.4,32,0.289,0.280,3.7,125.1,-0.575,0.818
01100600,49.1,109,25,45,14.5,30,0.287,0.238,2.6,357.9,0.999,-0.037
01100627,42.3,108,7,38,14.4,9,0.350,0.307,2.3,269.3,-0.012,-1.000
01101000,35.3,108,9,31,14.4,13,0.266,0.222,3.1,39.7,0.769,0.639
01101344,32.1,81,18,29,9.6,21,0.224,0.175,1.6,29.7,0.868,0.496
01101500,32.5,127,13,29,11.9,15,0.171,0.140,2.0,107.7,-0.304,0.953
01102000,32.2,127,5,30,14.7,6,0.223,0.205,2.4,106.4,-0.282,0.959
01102345,30.8,78,2,29,11.4,9,0.379,0.355,2.8,157.7,-0.925,0.379
01102500,35.9,103,1,32,17.9,4,0.342,0.304,3.3,191.9,-0.979,-0.206
01103025,19.6,114,0,10,22.3,6,0.172,0.088,2.5,69.1,0.358,0.934
01103220,93.3,136,77,90,12.4,79,0.276,0.220,4.2,288.4,0.315,-0.949
01103280,87.3,177,40,83,21.7,41,0.346,0.314,3.0,116.1,-0.440,0.898
01103455,63.4,125,30,63,20.5,32,0.352,0.347,4.4,342.4,0.953,-0.302
01103500,68.6,177,27,66,23.6,27,0.277,0.260,3.1,103.4,-0.232,0.973
01104200,65.4,177,18,62,24.1,30,0.298,0.277,3.1,108.5,-0.317,0.948
01104430,64.9,110,44,62,12.0,48,0.317,0.273,3.6,249.6,-0.349,-0.937
01104460,60.8,135,-15,59,14.7,31,0.505,0.493,3.8,223.0,-0.731,-0.682
01104475,59.4,105,20,60,13.5,27,0.463,0.471,4.0,58.5,0.523,0.852
01104500,63.4,177,-15,60,24.0,10,0.408,0.391,3.2,101.8,-0.204,0.979
01105000,64.1,143,17,61,17.9,17,0.374,0.349,2.7,38.5,0.783,0.622
01105500,62.1,143,27,61,15.5,29,0.303,0.293,2.3,290.7,0.354,-0.935
01105554,56.3,191,10,57,22.5,12,0.256,0.260,2.6,352.3,0.991,-0.134
011055566,52.3,191,1,54,24.6,4,0.270,0.279,2.8,340.0,0.940,-0.341
01105583,50.1,186,2,48,18.1,11,0.261,0.250,2.8,52.5,0.609,0.793
01105585,30.6,117,5,29,16.1,7,0.228,0.214,3.9,50.3,0.639,0.769
01105600,43.1,59,23,44,7.1,25,0.557,0.583,1.7,41.0,0.754,0.656
01105638,28.6,72,7,28,12.5,8,0.332,0.323,1.9,329.4,0.860,-0.510
01105730,30.1,58,1,28,10.0,1,0.510,0.474,1.2,144.2,-0.811,0.585
01105870,25.1,64,4,24,10.9,15,0.352,0.333,1.6,222.7,-0.735,-0.678
011058756,39.9,70,13,40,9.9,13,0.472,0.474,3.4,32.1,0.847,0.531
01105876,40.4,114,0,38,21.0,1,0.355,0.333,4.1,332.9,0.890,-0.456
01105880,18.1,38,4,18,8.2,9,0.416,0.412,2.0,201.0,-0.933,-0.359
01105917,18.6,47,0,19,7.5,2,0.395,0.404,1.2,106.0,-0.275,0.962
01105933,28.8,71,4,28,10.6,15,0.370,0.358,1.6,119.1,-0.486,0.874
01106000,38.9,90,5,38,14.9,5,0.399,0.388,2.0,177.2,-0.999,0.049
01106500,41.7,96,6,39,16.6,12,0.397,0.367,1.5,133.6,-0.689,0.725
01108000,29.1,118,0,26,15.5,6,0.247,0.220,1.4,130.5,-0.649,0.761
01108320,53.9,121,19,48,22.4,21,0.342,0.284,1.3,175.3,-0.997,0.082
01108410,44.1,121,3,38,23.2,7,0.348,0.297,1.2,158.0,-0.927,0.375
01108500,72.8,131,38,71,17.5,38,0.374,0.355,2.7,131.8,-0.666,0.746
01109000,54.3,131,19,48,21.9,19,0.315,0.259,1.6,121.3,-0.519,0.855
01109060,47.3,133,5,41,23.8,6,0.331,0.281,1.4,118.3,-0.474,0.881
01109070,34.2,74,8,32,10.3,12,0.397,0.364,1.6,88.8,0.020,1.000
01109090,50.7,102,6,48,16.5,7,0.466,0.438,2.6,293.5,0.399,-0.917
01109220,31.7,78,1,33,13.9,1,0.399,0.416,1.4,159.5,-0.937,0.350
01109403,47.1,131,4,44,21.4,12,0.340,0.315,1.7,152.9,-0.890,0.456
01109500,228.9,421,144,215,59.5,148,0.306,0.256,5.0,72.4,0.303,0.953
01109730,211.1,421,118,195,58.8,125,0.307,0.254,5.6,93.1,-0.054,0.999
01110000,148.4,230,105,142,30.2,107,0.347,0.296,4.6,129.2,-0.633,0.775
01110500,179.5,421,78,169,57.9,84,0.296,0.265,5.3,89.4,0.010,1.000
01111050,161.4,276,69,158,44.2,67,0.446,0.430,4.6,62.0,0.470,0.883
01111200,123.2,201,70,122,29.1,72,0.406,0.397,5.0,210.5,-0.861,-0.508
01111212,163.0,421,62,155,55.9,63,0.281,0.259,5.1,84.5,0.097,0.995
01111225,139.2,194,76,140,22.2,76,0.535,0.542,3.8,82.6,0.129,0.992
01111300,161.8,235,108,159,25.1,116,0.424,0.402,3.6,113.7,-0.402,0.915
01111500,150.6,248,57,151,33.3,63,0.490,0.492,4.0,67.0,0.391,0.920
01112500,149.6,421,34,144,52.9,34,0.299,0.284,4.7,82.5,0.130,0.992
01113695,90.8,147,52,91,17.4,53,0.408,0.411,5.1,115.6,-0.432,0.902
01113895,137.9,421,10,133,56.6,19,0.311,0.299,4.6,87.0,0.053,0.999
01114000,60.0,144,5,59,32.9,15,0.396,0.388,3.6,101.3,-0.196,0.981
01114500,108.9,197,31,108,30.1,31,0.470,0.464,4.7,116.8,-0.451,0.893
01115098,140.5,212,95,139,22.9,95,0.388,0.376,4.4,154.0,-0.899,0.439
01115187,187.0,255,106,189,33.4,109,0.543,0.557,3.4,109.5,-0.334,0.943
01115630,139.4,190,85,136,22.1,87,0.518,0.486,4.1,85.6,0.078,0.997
01115670,126.6,185,91,121,20.1,97,0.379,0.319,3.9,36.9,0.800,0.601
01115770,100.9,155,78,99,15.9,78,0.298,0.273,3.1,291.9,0.372,-0.928
01116000,117.2,203,67,113,31.0,67,0.369,0.338,3.6,71.6,0.315,0.949
01116500,121.4,255,2,120,45.3,8,0.472,0.466,3.6,92.4,-0.042,0.999
01116905,72.8,153,12,77,28.9,18,0.431,0.461,2.7,79.5,0.182,0.983
01117000,57.8,153,0,58,33.5,11,0.378,0.379,2.4,82.9,0.124,0.992
01117350,54.9,103,26,54,15.5,29,0.376,0.364,2.9,248.5,-0.366,-0.931
01117370,88.4,156,39,85,27.4,41,0.422,0.393,3.6,140.3,-0.770,0.638
01117420,83.7,178,29,81,31.5,29,0.367,0.349,3.5,128.0,-0.616,0.788
01117430,63.8,178,25,55,31.7,31,0.254,0.196,2.9,139.2,-0.757,0.653
01117468,99.8,184,34,100,36.0,35,0.438,0.440,4.3,154.5,-0.902,0.431
01117500,62.9,184,13,53,33.4,21,0.292,0.234,3.0,151.6,-0.880,0.475
01117800,120.7,206,40,123,33.1,50,0.486,0.500,4.6,170.5,-0.986,0.165
01118000,104.8,206,19,109,37.4,21,0.459,0.481,4.4,161.0,-0.945,0.326
01118300,103.8,165,48,103,24.7,50,0.477,0.470,4.7,134.2,-0.697,0.717
01118500,69.1,206,0,58,40.9,4,0.336,0.282,3.7,148.3,-0.851,0.525
01119384,226.9,396,88,225,51.8,88,0.451,0.445,6.8,201.4,-0.931,-0.365
01119500,213.4,396,75,211,56.4,85,0.431,0.424,6.6,202.7,-0.923,-0.386
01120000,184.0,306,80,184,39.3,87,0.460,0.460,5.3,136.1,-0.721,0.693
01120500,229.5,287,165,233,24.5,178,0.529,0.557,6.3,228.9,-0.658,-0.753
01121000,198.1,376,98,192,46.3,108,0.360,0.338,6.0,150.8,-0.873,0.488
01122000,187.8,391,46,191,57.4,49,0.411,0.420,6.0,163.0,-0.956,0.293
01122500,189.4,396,41,189,57.7,49,0.418,0.417,6.0,169.1,-0.982,0.189
01123000,154.3,244,70,154,35.7,89,0.485,0.483,5.1,198.0,-0.951,-0.309
011230695,173.3,396,0,175,63.5,15,0.438,0.442,5.9,173.4,-0.993,0.116
01123360,253.4,390,190,250,38.3,200,0.317,0.300,7.4,101.9,-0.207,0.978
01123600,242.0,390,161,236,38.9,168,0.354,0.328,7.1,93.4,-0.060,0.998
01124000,230.3,396,104,227,42.0,106,0.433,0.421,6.7,129.3,-0.633,0.774
01124151,221.4,390,89,222,48.9,93,0.440,0.442,6.6,132.1,-0.671,0.742
01124350,245.0,360,139,253,46.7,147,0.480,0.516,4.8,162.3,-0.952,0.305
01124500,219.7,333,142,215,37.8,145,0.407,0.382,5.0,105.2,-0.262,0.965
01125000,216.2,360,125,214,48.7,126,0.388,0.379,4.8,174.0,-0.994,0.105
01125100,206.6,360,101,203,50.8,121,0.408,0.394,4.8,170.4,-0.986,0.167
01125500,205.4,390,68,207,53.8,77,0.427,0.432,5.8,140.3,-0.770,0.638
01126000,168.0,259,72,167,35.7,77,0.513,0.508,4.5,249.6,-0.348,-0.937
01126500,155.8,249,63,154,34.2,70,0.499,0.489,4.1,221.7,-0.747,-0.665
01127000,164.4,396,22,161,63.9,40,0.381,0.372,5.1,186.1,-0.994,-0.106
01127500,124.0,212,28,127,32.1,39,0.522,0.538,4.9,96.8,-0.119,0.993
01127880,644.0,955,515,626,84.1,517,0.293,0.252,10.5,145.8,-0.827,0.562
01128500,653.0,1088,479,637,103.1,479,0.286,0.259,10.1,240.5,-0.492,-0.870
01129200,590.9,1088,351,584,105.1,351,0.326,0.316,10.0,257.2,-0.222,-0.975
01130000,577.8,1257,280,554,186.8,289,0.305,0.280,15.0,69.4,0.352,0.936
01133000,521.9,1008,285,516,122.7,295,0.328,0.320,13.1,226.4,-0.689,-0.725
01134500,542.3,1043,335,534,134.1,352,0.293,0.281,12.6,202.2,-0.926,-0.377
01135000,477.3,1043,187,451,142.7,188,0.339,0.308,12.5,203.4,-0.918,-0.396
01135150,505.2,736,350,495,86.9,353,0.402,0.376,11.1,102.2,-0.211,0.978
01135300,408.6,739,196,396,97.8,223,0.392,0.368,10.4,90.0,0.000,1.000
01135500,440.8,1043,146,423,134.7,148,0.329,0.309,11.8,160.8,-0.944,0.330
01137500,754.5,1912,364,700,260.4,365,0.252,0.217,19.2,280.3,0.179,-0.984
01138000,517.4,1912,138,442,251.0,152,0.214,0.171,14.9,290.3,0.346,-0.938
01139000,415.6,1023,143,404,120.3,147,0.310,0.297,11.2,59.1,0.514,0.858
01139800,550.2,731,358,551,77.4,358,0.515,0.517,18.0,105.3,-0.264,0.965
01141500,385.9,723,127,384,111.3,127,0.434,0.431,14.6,108.7,-0.320,0.947
01141800,448.6,698,309,437,75.1,315,0.359,0.329,12.1,257.6,-0.214,-0.977
01142500,414.6,702,196,419,109.7,212,0.432,0.441,14.9,129.6,-0.638,0.770
01144000,446.5,1143,113,433,154.6,118,0.324,0.311,17.9,119.6,-0.495,0.869
01145000,424.5,973,259,395,112.6,252,0.232,0.190,10.0,227.7,-0.674,-0.739
01150500,383.9,976,227,364,106.8,227,0.210,0.183,9.9,224.6,-0.712,-0.703
01150900,618.7,1272,351,610,160.2,424,0.291,0.281,21.7,29.1,0.874,0.486
01151500,458.0,1272,107,445,160.4,108,0.301,0.290,18.2,74.9,0.261,0.965
01152500,382.0,841,112,371,100.8,113,0.370,0.355,10.0,238.8,-0.518,-0.856
01153000,460.2,1037,136,454,152.9,144,0.360,0.353,14.5,93.2,-0.055,0.998
01153500,403.6,878,119,395,135.9,136,0.375,0.364,14.9,80.7,0.161,0.987
01153550,388.9,878,91,375,138.0,98,0.379,0.361,14.8,81.4,0.149,0.989
01154000,393.1,864,122,381,126.6,122,0.365,0.349,15.2,78.9,0.192,0.981
01154500,438.5,1912,61,414,172.7,209,0.204,0.191,13.3,200.0,-0.940,-0.343
01155000,379.4,653,116,390,83.6,121,0.490,0.510,10.1,238.7,-0.519,-0.855
01155500,537.7,1183,208,510,138.2,212,0.338,0.310,12.0,124.7,-0.570,0.822
01155910,522.9,1195,141,507,146.0,144,0.362,0.347,13.3,111.4,-0.365,0.931
01156000,505.9,1195,119,494,153.0,121,0.360,0.349,13.6,113.6,-0.400,0.917
01156500,431.3,1912,61,410,173.9,65,0.200,0.189,13.2,160.9,-0.945,0.326
01157000,459.2,766,239,455,77.4,239,0.418,0.410,9.1,213.6,-0.833,-0.553
01158000,420.1,766,148,422,99.4,148,0.440,0.443,10.2,194.5,-0.968,-0.250
01158600,418.4,651,208,420,69.5,239,0.475,0.479,10.4,206.8,-0.892,-0.451
01160000,389.3,954,211,374,81.4,211,0.240,0.219,8.6,256.5,-0.234,-0.972
01160350,362.1,954,138,377,117.1,143,0.275,0.293,9.6,225.3,-0.704,-0.710
01161000,333.5,954,67,340,118.1,80,0.300,0.308,9.8,219.9,-0.767,-0.642
01161500,316.3,389,267,314,26.1,270,0.404,0.385,4.4,161.9,-0.950,0.311
01162000,339.9,568,252,337,37.7,259,0.278,0.269,4.6,219.1,-0.776,-0.631
01162500,332.9,531,258,329,39.7,260,0.274,0.260,4.9,141.1,-0.778,0.628
01163200,327.7,407,273,330,24.2,278,0.408,0.425,4.2,270.9,0.015,-1.000
01164000,325.3,568,244,326,38.2,244,0.251,0.253,4.5,214.7,-0.822,-0.570
01165000,314.8,573,192,318,53.5,201,0.322,0.331,6.8,158.3,-0.929,0.370
01165500,264.6,491,158,269,42.7,161,0.320,0.333,8.9,130.8,-0.653,0.757
01166500,298.3,573,117,309,59.9,118,0.398,0.421,6.3,198.7,-0.947,-0.321
01168151,646.3,1203,238,647,117.0,289,0.423,0.424,13.0,126.8,-0.600,0.800
01168500,594.2,1203,166,597,142.5,167,0.413,0.416,13.8,118.5,-0.478,0.879
01169000,432.1,705,132,453,103.0,144,0.524,0.560,12.4,112.3,-0.380,0.925
01169900,341.4,550,145,341,89.0,145,0.485,0.484,12.0,53.1,0.600,0.800
01170000,513.3,1203,53,521,174.7,69,0.400,0.407,13.5,109.0,-0.326,0.946
01170100,410.9,730,141,428,108.6,144,0.458,0.487,13.6,117.5,-0.461,0.887
01170500,419.2,1912,29,397,175.2,33,0.207,0.195,12.6,155.4,-0.909,0.416
01170930,161.7,399,47,169,80.0,53,0.326,0.347,8.3,92.2,-0.038,0.999
01171300,181.3,383,47,165,102.2,49,0.400,0.351,6.5,237.3,-0.540,-0.842
01171500,255.2,516,43,248,110.2,58,0.449,0.433,9.1,117.4,-0.461,0.887
01172500,304.7,521,226,306,37.8,256,0.267,0.271,4.8,225.0,-0.707,-0.707
