STAID,GEOL_REEDBUSH_DOM,GEOL_REEDBUSH_DOM_PCT,GEOL_REEDBUSH_SITE,GEOL_HUNT_DOM_CODE,GEOL_HUNT_DOM_PCT,GEOL_HUNT_DOM_DESC,GEOL_HUNT_SITE_CODE
01048000,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01048220,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01049000,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01049265,sedimentary,84.1,sedimentary,tg,99.9,"Till, or ground moraine",tg
01049500,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01052500,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01053500,sedimentary,81.0,sedimentary,tg,99.7,"Till, or ground moraine",tg
01053600,sedimentary,81.7,sedimentary,tg,99.7,"Till, or ground moraine",tg
01054000,sedimentary,79.1,sedimentary,tg,99.8,"Till, or ground moraine",tg
01054200,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01054300,granitic,78.1,granitic,tg,100.0,"Till, or ground moraine",tg
01054500,sedimentary,77.2,sedimentary,tg,99.8,"Till, or ground moraine",tg
01055000,sedimentary,81.6,sedimentary,tg,100.0,"Till, or ground moraine",tg
01055500,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01057000,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01058500,sedimentary,68.8,sedimentary,tg,100.0,"Till, or ground moraine",tg
01059000,sedimentary,81.8,sedimentary,tg,99.9,"Till, or ground moraine",tg
01059800,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01060000,granitic,60.2,sedimentary,tg,88.1,"Till, or ground moraine",l
01064000,granitic,85.11,granitic,tg,100.00,"Till, or ground moraine",tg
01064118,granitic,74.5,sedimentary,tg,97.7,"Till, or ground moraine",l
01064300,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01064400,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01064500,granitic,66.0,granitic,tg,100.0,"Till, or ground moraine",tg
01064801,granitic,58.2,granitic,tg,100.0,"Till, or ground moraine",tg
01065000,granitic,84.0,granitic,tg,100.0,"Till, or ground moraine",tg
01065500,granitic,72.7,sedimentary,tg,100.0,"Till, or ground moraine",tg
01066000,granitic,64.7,sedimentary,tg,100.0,"Till, or ground moraine",tg
01066500,sedimentary,95.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01067950,sedimentary,100.00,sedimentary,tg,84.47,"Till, or ground moraine",l
01068910,sedimentary,100.00,sedimentary,tg,100.00,"Till, or ground moraine",tg
01069500,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01069700,sedimentary,100.00,sedimentary,tg,69.80,"Till, or ground moraine",l
01072500,sedimentary,99.1,sedimentary,tg,100.0,"Till, or ground moraine",tg
01072800,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01072870,sedimentary,83.64,gneiss,tg,100.00,"Till, or ground moraine",tg
01073000,sedimentary,69.4,sedimentary,tg,100.0,"Till, or ground moraine",tg
01073319,gneiss,83.1,gneiss,tg,100.0,"Till, or ground moraine",tg
01073500,gneiss,64.8,sedimentary,tg,100.0,"Till, or ground moraine",tg
010735562,sedimentary,100.00,sedimentary,tg,100.00,"Till, or ground moraine",tg
01073587,sedimentary,96.2,sedimentary,tg,100.0,"Till, or ground moraine",tg
01073600,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01073785,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01074520,granitic,99.0,granitic,tg,100.0,"Till, or ground moraine",tg
01075000,granitic,94.6,sedimentary,tg,100.0,"Till, or ground moraine",tg
01075800,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01076000,granitic,76.2,sedimentary,tg,100.0,"Till, or ground moraine",tg
01076500,granitic,61.3,sedimentary,tg,95.2,"Till, or ground moraine",w
01077000,granitic,63.2,sedimentary,tg,100.0,"Till, or ground moraine",tg
01077400,sedimentary,77.48,sedimentary,tg,100.00,"Till, or ground moraine",tg
01078000,sedimentary,53.2,sedimentary,tg,91.4,"Till, or ground moraine",w
01081000,granitic,58.1,sedimentary,tg,53.1,"Till, or ground moraine",w
01081500,granitic,50.1,sedimentary,tg,71.5,"Till, or ground moraine",w
01082000,sedimentary,94.8,granitic,tg,100.0,"Till, or ground moraine",tg
01083000,granitic,53.5,granitic,tg,100.0,"Till, or ground moraine",tg
01084000,granitic,85.1,granitic,tg,100.0,"Till, or ground moraine",tg
01084500,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01085000,granitic,71.5,granitic,tg,100.0,"Till, or ground moraine",tg
01085500,granitic,69.8,sedimentary,tg,100.0,"Till, or ground moraine",tg
01085800,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01086000,granitic,99.8,granitic,tg,99.3,"Till, or ground moraine",tg
01087000,granitic,57.0,granitic,tg,87.4,"Till, or ground moraine",w
01088000,granitic,71.4,sedimentary,tg,92.2,"Till, or ground moraine",w
01089000,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01089100,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01089500,sedimentary,100.0,sedimentary,tg,99.0,"Till, or ground moraine",tg
01090800,sedimentary,96.5,sedimentary,tg,97.9,"Till, or ground moraine",tg
01091000,sedimentary,97.9,sedimentary,tg,100.0,"Till, or ground moraine",tg
01091500,sedimentary,97.7,sedimentary,tg,97.0,"Till, or ground moraine",w
01092000,sedimentary,56.2,gneiss,tg,77.5,"Till, or ground moraine",tg
01093000,gneiss,87.8,gneiss,tg,100.0,"Till, or ground moraine",tg
01093800,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01093852,sedimentary,96.32,gneiss,tg,100.00,"Till, or ground moraine",tg
01094000,sedimentary,67.0,gneiss,tg,90.9,"Till, or ground moraine",w
01094400,sedimentary,58.7,gneiss,tg,100.0,"Till, or ground moraine",tg
01094500,sedimentary,57.8,sedimentary,tg,96.4,"Till, or ground moraine",w
01095220,gneiss,64.4,sedimentary,tg,100.0,"Till, or ground moraine",tg
01095375,sedimentary,61.4,gneiss,tg,100.0,"Till, or ground moraine",tg
01095505,sedimentary,63.3,sedimentary,tg,100.0,"Till, or ground moraine",tg
01096000,gneiss,65.0,sedimentary,tg,90.6,"Till, or ground moraine",w
01096500,sedimentary,69.0,sedimentary,tg,81.4,"Till, or ground moraine",w
01096503,gneiss,59.6,sedimentary,tg,72.4,"Till, or ground moraine",w
010965852,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
010965995,sedimentary,82.58,sedimentary,tg,100.00,"Till, or ground moraine",tg
01096835,sedimentary,97.99,sedimentary,tg,100.00,"Till, or ground moraine",tg
01096840,sedimentary,98.11,sedimentary,tg,100.00,"Till, or ground moraine",tg
01096885,sedimentary,98.62,sedimentary,tg,100.00,"Till, or ground moraine",tg
01097000,sedimentary,98.8,sedimentary,tg,100.0,"Till, or ground moraine",tg
01097300,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01097380,sedimentary,100.00,sedimentary,tg,100.00,"Till, or ground moraine",tg
01097480,granitic,94.95,granitic,tg,100.00,"Till, or ground moraine",tg
01098530,granitic,83.8,granitic,tg,100.0,"Till, or ground moraine",tg
01099500,sedimentary,73.3,sedimentary,tg,96.0,"Till, or ground moraine",w
01100000,sedimentary,60.3,sedimentary,tg,77.1,"Till, or ground moraine",w
01100505,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01100561,sedimentary,100.0,sedimentary,tg,80.7,"Till, or ground moraine",w
01100600,sedimentary,86.4,sedimentary,tg,100.0,"Till, or ground moraine",tg
01100627,sedimentary,97.8,sedimentary,tg,97.0,"Till, or ground moraine",tg
01101000,sedimentary,100.0,sedimentary,tg,84.3,"Till, or ground moraine",tg
01101344,sedimentary,100.00,sedimentary,tg,100.00,"Till, or ground moraine",tg
01101500,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01102000,sedimentary,88.8,granitic,tg,100.0,"Till, or ground moraine",tg
01102345,granitic,79.2,granitic,tg,100.0,"Till, or ground moraine",tg
01102500,granitic,61.3,granitic,tg,100.0,"Till, or ground moraine",tg
01103025,sedimentary,78.8,granitic,tg,100.0,"Till, or ground moraine",tg
01103220,granitic,100.00,granitic,tg,100.00,"Till, or ground moraine",tg
01103280,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01103455,granitic,100.00,granitic,tg,100.00,"Till, or ground moraine",tg
01103500,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01104200,granitic,93.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01104430,granitic,77.4,granitic,tg,100.0,"Till, or ground moraine",tg
01104460,granitic,79.5,granitic,tg,100.0,"Till, or ground moraine",tg
01104475,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01104500,granitic,90.7,granitic,tg,100.0,"Till, or ground moraine",tg
01105000,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01105500,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01105554,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
011055566,granitic,87.57,sedimentary,tg,100.00,"Till, or ground moraine",tg
01105583,granitic,96.9,granitic,tg,100.0,"Till, or ground moraine",tg
01105585,sedimentary,77.77,sedimentary,tg,100.00,"Till, or ground moraine",tg
01105600,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01105638,granitic,100.00,granitic,tg,100.00,"Till, or ground moraine",tg
01105730,granitic,73.6,granitic,tg,100.0,"Till, or ground moraine",tg
01105870,granitic,71.8,granitic,tg,100.0,"Till, or ground moraine",tg
011058756,quarternary,100.00,quarternary,tg,100.00,"Till, or ground moraine",tg
01105876,quarternary,100.0,quarternary,tg,100.0,"Till, or ground moraine",tg
01105880,quarternary,100.0,quarternary,tg,100.0,"Till, or ground moraine",tg
01105917,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01105933,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01106000,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01106500,granitic,62.66,sedimentary,tg,100.00,"Till, or ground moraine",tg
01108000,sedimentary,58.3,sedimentary,tg,100.0,"Till, or ground moraine",tg
01108320,granitic,75.26,sedimentary,tg,100.00,"Till, or ground moraine",tg
01108410,granitic,53.6,sedimentary,tg,100.0,"Till, or ground moraine",tg
01108500,granitic,95.8,sedimentary,tg,100.0,"Till, or ground moraine",tg
01109000,sedimentary,50.5,sedimentary,tg,100.0,"Till, or ground moraine",tg
01109060,sedimentary,58.9,sedimentary,tg,100.0,"Till, or ground moraine",tg
01109070,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01109090,granitic,93.78,sedimentary,tg,100.00,"Till, or ground moraine",tg
01109220,sedimentary,100.00,sedimentary,tg,100.00,"Till, or ground moraine",tg
01109403,sedimentary,88.9,sedimentary,tg,93.7,"Till, or ground moraine",tg
01109500,sedimentary,100.0,sedimentary,tg,90.4,"Till, or ground moraine",tg
01109730,sedimentary,99.3,sedimentary,tg,82.1,"Till, or ground moraine",w
01110000,sedimentary,100.0,sedimentary,tg,91.4,"Till, or ground moraine",tg
01110500,sedimentary,88.1,granitic,tg,65.6,"Till, or ground moraine",w
01111050,granitic,99.62,granitic,w,54.25,"Gravel, sand and clay deposited by glacial streams adjacent to or downstream from temporary ice fronts",w
01111200,granitic,99.6,granitic,tg,81.9,"Till, or ground moraine",w
01111212,sedimentary,50.8,granitic,tg,58.5,"Till, or ground moraine",w
01111225,granitic,100.00,granitic,w,62.54,"Gravel, sand and clay deposited by glacial streams adjacent to or downstream from temporary ice fronts",w
01111300,granitic,100.0,granitic,tg,99.5,"Till, or ground moraine",tg
01111500,granitic,100.0,granitic,tg,90.8,"Till, or ground moraine",w
01112500,granitic,69.2,granitic,tg,62.8,"Till, or ground moraine",w
01113695,granitic,100.00,granitic,tg,97.97,"Till, or ground moraine",tg
01113895,granitic,72.0,sedimentary,tg,58.8,"Till, or ground moraine",w
01114000,granitic,81.8,sedimentary,w,100.0,"Gravel, sand and clay deposited by glacial streams adjacent to or downstream from temporary ice fronts",w
01114500,granitic,100.0,granitic,tg,52.5,"Till, or ground moraine",w
01115098,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01115187,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01115630,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01115670,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01115770,granitic,100.0,granitic,tg,54.3,"Till, or ground moraine",tg
01116000,granitic,100.0,granitic,tg,94.2,"Till, or ground moraine",tg
01116500,granitic,100.0,granitic,tg,80.3,"Till, or ground moraine",w
01116905,granitic,100.0,granitic,w,100.0,"Gravel, sand and clay deposited by glacial streams adjacent to or downstream from temporary ice fronts",w
01117000,granitic,100.0,granitic,w,100.0,"Gravel, sand and clay deposited by glacial streams adjacent to or downstream from temporary ice fronts",w
01117350,granitic,100.0,granitic,w,100.0,"Gravel, sand and clay deposited by glacial streams adjacent to or downstream from temporary ice fronts",w
01117370,granitic,100.0,granitic,w,82.4,"Gravel, sand and clay deposited by glacial streams adjacent to or downstream from temporary ice fronts",w
01117420,granitic,100.0,granitic,w,51.7,"Gravel, sand and clay deposited by glacial streams adjacent to or downstream from temporary ice fronts",tg
01117430,granitic,100.0,granitic,w,55.2,"Gravel, sand and clay deposited by glacial streams adjacent to or downstream from temporary ice fronts",tg
01117468,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01117500,granitic,100.0,granitic,tg,60.4,"Till, or ground moraine",tg
01117800,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01118000,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01118300,granitic,100.0,granitic,tg,100.0,"Till, or ground moraine",tg
01118500,granitic,99.8,granitic,tg,86.6,"Till, or ground moraine",tg
01119384,sedimentary,100.0,sedimentary,tg,88.8,"Till, or ground moraine",w
01119500,sedimentary,100.0,sedimentary,tg,72.1,"Till, or ground moraine",w
01120000,sedimentary,100.0,sedimentary,tg,66.8,"Till, or ground moraine",w
01120500,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01121000,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01122000,sedimentary,100.0,sedimentary,tg,91.9,"Till, or ground moraine",w
01122500,sedimentary,100.0,sedimentary,tg,76.5,"Till, or ground moraine",w
01123000,sedimentary,100.0,sedimentary,tg,60.1,"Till, or ground moraine",w
011230695,sedimentary,100.00,sedimentary,tg,66.94,"Till, or ground moraine",w
01123360,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01123600,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01124000,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01124151,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01124350,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01124500,sedimentary,100.00,sedimentary,tg,100.00,"Till, or ground moraine",tg
01125000,sedimentary,95.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01125100,sedimentary,95.89,sedimentary,tg,100.00,"Till, or ground moraine",tg
01125500,sedimentary,98.5,sedimentary,tg,98.8,"Till, or ground moraine",w
01126000,granitic,87.3,sedimentary,tg,100.0,"Till, or ground moraine",tg
01126500,granitic,99.9,granitic,tg,100.0,"Till, or ground moraine",tg
01127000,sedimentary,72.0,sedimentary,tg,90.6,"Till, or ground moraine",tg
01127500,sedimentary,100.0,sedimentary,tg,78.4,"Till, or ground moraine",w
01127880,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01128500,sedimentary,99.7,sedimentary,tg,99.3,"Till, or ground moraine",tg
01129200,sedimentary,99.8,sedimentary,tg,99.3,"Till, or ground moraine",tg
01130000,granitic,61.5,sedimentary,tg,100.0,"Till, or ground moraine",tg
01133000,sedimentary,70.4,sedimentary,tg,100.0,"Till, or ground moraine",tg
01134500,sedimentary,97.0,sedimentary,tg,84.8,"Till, or ground moraine",tg
01135000,sedimentary,98.2,sedimentary,tg,89.9,"Till, or ground moraine",tg
01135150,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01135300,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01135500,sedimentary,93.2,sedimentary,tg,96.8,"Till, or ground moraine",tg
01137500,granitic,66.3,granitic,tg,100.0,"Till, or ground moraine",tg
01138000,sedimentary,51.2,sedimentary,tg,98.8,"Till, or ground moraine",tg
01139000,sedimentary,91.8,sedimentary,tg,94.1,"Till, or ground moraine",l
01139800,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01141500,sedimentary,100.0,sedimentary,tg,92.6,"Till, or ground moraine",l
01141800,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01142500,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01144000,sedimentary,84.1,sedimentary,tg,68.1,"Till, or ground moraine",w
01145000,sedimentary,57.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01150500,sedimentary,71.6,sedimentary,tg,100.0,"Till, or ground moraine",tg
01150900,gneiss,70.3,sedimentary,tg,98.3,"Till, or ground moraine",tg
01151500,sedimentary,88.5,sedimentary,tg,85.6,"Till, or ground moraine",l
01152500,granitic,54.4,sedimentary,tg,100.0,"Till, or ground moraine",tg
01153000,sedimentary,78.1,sedimentary,tg,97.3,"Till, or ground moraine",tg
01153500,sedimentary,72.4,sedimentary,tg,99.9,"Till, or ground moraine",l
01153550,sedimentary,75.0,sedimentary,tg,93.0,"Till, or ground moraine",l
01154000,sedimentary,74.2,sedimentary,tg,95.0,"Till, or ground moraine",l
01154500,sedimentary,78.1,sedimentary,tg,79.4,"Till, or ground moraine",l
01155000,sedimentary,68.9,sedimentary,tg,100.0,"Till, or ground moraine",tg
01155500,gneiss,99.9,gneiss,tg,99.5,"Till, or ground moraine",tg
01155910,gneiss,85.9,sedimentary,tg,99.7,"Till, or ground moraine",tg
01156000,gneiss,81.6,sedimentary,tg,99.7,"Till, or ground moraine",tg
01156500,sedimentary,76.3,sedimentary,tg,80.0,"Till, or ground moraine",l
01157000,sedimentary,98.4,sedimentary,tg,100.0,"Till, or ground moraine",tg
01158000,sedimentary,98.9,sedimentary,tg,100.0,"Till, or ground moraine",tg
01158600,sedimentary,99.9,sedimentary,tg,100.0,"Till, or ground moraine",tg
01160000,sedimentary,81.8,sedimentary,tg,100.0,"Till, or ground moraine",tg
01160350,sedimentary,97.6,sedimentary,tg,100.0,"Till, or ground moraine",tg
01161000,sedimentary,98.2,sedimentary,tg,99.7,"Till, or ground moraine",l
01161500,ultramafic,72.7,ultramafic,tg,100.0,"Till, or ground moraine",tg
01162000,sedimentary,80.4,ultramafic,tg,100.0,"Till, or ground moraine",tg
01162500,ultramafic,96.5,ultramafic,tg,100.0,"Till, or ground moraine",tg
01163200,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01164000,sedimentary,65.0,ultramafic,tg,100.0,"Till, or ground moraine",tg
01165000,sedimentary,76.2,sedimentary,tg,100.0,"Till, or ground moraine",tg
01165500,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01166500,sedimentary,75.9,sedimentary,tg,100.0,"Till, or ground moraine",tg
01168151,gneiss,57.2,sedimentary,w,66.4,"Gravel, sand and clay deposited by glacial streams adjacent to or downstream from temporary ice fronts",w
01168500,sedimentary,59.7,sedimentary,w,71.4,"Gravel, sand and clay deposited by glacial streams adjacent to or downstream from temporary ice fronts",w
01169000,sedimentary,100.0,sedimentary,tg,96.7,"Till, or ground moraine",w
01169900,sedimentary,100.0,sedimentary,tg,70.3,"Till, or ground moraine",w
01170000,sedimentary,73.9,sedimentary,w,62.0,"Gravel, sand and clay deposited by glacial streams adjacent to or downstream from temporary ice fronts",l
01170100,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01170500,sedimentary,78.0,sedimentary,tg,78.3,"Till, or ground moraine",l
01170930,sedimentary,100.00,sedimentary,l,92.48,Lake deposits,l
01171300,sedimentary,100.0,sedimentary,tg,99.1,"Till, or ground moraine",tg
01171500,sedimentary,100.0,sedimentary,tg,77.5,"Till, or ground moraine",l
01172500,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01173000,sedimentary,95.9,sedimentary,tg,100.0,"Till, or ground moraine",tg
01173500,sedimentary,71.1,sedimentary,tg,80.6,"Till, or ground moraine",tg
01174000,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01174500,ultramafic,86.44,ultramafic,tg,99.58,"Till, or ground moraine",tg
01174565,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01174600,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01174900,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01175500,sedimentary,79.2,sedimentary,tg,89.6,"Till, or ground moraine",w
01175670,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01176000,sedimentary,89.8,sedimentary,tg,100.0,"Till, or ground moraine",tg
01176780,sedimentary,100.0,sedimentary,tg,81.9,"Till, or ground moraine",w
01177000,sedimentary,83.8,sedimentary,tg,81.6,"Till, or ground moraine",w
01179500,sedimentary,97.4,sedimentary,tg,98.4,"Till, or ground moraine",tg
01180000,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01180500,sedimentary,97.5,sedimentary,tg,100.0,"Till, or ground moraine",tg
01181000,sedimentary,52.9,sedimentary,tg,100.0,"Till, or ground moraine",tg
01183500,sedimentary,90.1,sedimentary,tg,97.8,"Till, or ground moraine",l
01184000,sedimentary,80.4,sedimentary,tg,77.0,"Till, or ground moraine",l
01184100,sedimentary,100.0,sedimentary,tg,59.6,"Till, or ground moraine",tg
01184490,sedimentary,100.0,sedimentary,tg,99.9,"Till, or ground moraine",tg
01184500,sedimentary,100.0,sedimentary,tg,93.8,"Till, or ground moraine",l
01185500,gneiss,94.6,gneiss,tg,99.9,"Till, or ground moraine",tg
01186000,gneiss,86.8,sedimentary,tg,96.7,"Till, or ground moraine",w
01186500,gneiss,92.0,gneiss,w,53.3,"Gravel, sand and clay deposited by glacial streams adjacent to or downstream from temporary ice fronts",w
01187300,sedimentary,89.1,sedimentary,tg,100.0,"Till, or ground moraine",tg
01187400,sedimentary,100.0,sedimentary,tg,100.0,"Till, or ground moraine",tg
01187800,sedimentary,100.0,sedimentary,w,93.1,"Gravel, sand and clay deposited by glacial streams adjacent to or downstream from temporary ice fronts",w
01188000,sedimentary,100.0,sedimentary,w,64.7,"Gravel, sand and clay deposited by glacial streams adjacent to or downstream from temporary ice fronts",w
01188090,gneiss,51.3,sedimentary,tg,60.3,"Till, or ground moraine",w
01189000,sedimentary,100.0,sedimentary,tg,56.5,"Till, or ground moraine",w
