STAID,STREAMS_KM_SQ_KM,STRAHLER_MAX,MAINSTEM_SINUOUSITY,REACHCODE,ARTIFPATH_PCT,ARTIFPATH_MAINSTEM_PCT,HIRES_LENTIC_PCT,BFI_AVE,PERDUN,PERHOR,TOPWET,CONTACT,RUNAVE7100,WB5100_JAN_MM,WB5100_FEB_MM,WB5100_MAR_MM,WB5100_APR_MM,WB5100_MAY_MM,WB5100_JUN_MM,WB5100_JUL_MM,WB5100_AUG_MM,WB5100_SEP_MM,WB5100_OCT_MM,WB5100_NOV_MM,WB5100_DEC_MM,WB5100_ANN_MM,PCT_1ST_ORDER,PCT_2ND_ORDER,PCT_3RD_ORDER,PCT_4TH_ORDER,PCT_5TH_ORDER,PCT_6TH_ORDER_OR_MORE,PCT_NO_ORDER
01018009,0.66,2,1.41,01010005000175,0.00,0.00,0.14,52.2,2.1,1.8,11.67,236.1,599.0,10.4,5.0,6.0,56.6,122.0,74.9,42.4,27.4,22.4,29.4,42.0,20.0,458.6,67.37,32.63,0.00,0.00,0.00,0.00,0.00
01019000,0.66,5,1.60,01050001000107,46.72,95.62,23.26,57.3,6.1,1.6,12.59,755.5,660.7,15.2,8.0,12.6,77.3,142.9,94.7,51.7,29.4,25.2,32.5,56.6,29.7,575.8,58.97,14.03,11.17,8.89,4.26,0.00,2.68
01021200,0.68,3,1.76,01050002000018,20.75,31.53,12.52,58.0,6.2,1.3,13.02,244.0,759.0,17.4,9.3,19.0,89.7,146.7,91.5,49.3,27.3,22.1,30.9,58.6,34.2,596.1,62.85,18.12,18.70,0.00,0.00,0.00,0.34
01021470,0.51,2,1.57,01050002000229,4.04,0.00,0.56,54.9,6.0,0.2,14.15,84.3,760.0,22.6,12.0,23.6,97.2,161.5,111.1,60.9,33.2,29.2,40.9,71.9,44.2,708.5,58.23,41.77,0.00,0.00,0.00,0.00,0.00
01021480,0.76,3,1.29,01050002000157,11.80,24.21,3.20,56.2,6.1,1.3,11.90,345.2,758.9,16.5,8.4,15.0,82.0,147.1,96.4,52.3,29.3,23.9,31.6,58.5,32.1,593.0,60.31,18.89,13.10,0.00,0.00,0.00,7.69
01021500,0.64,5,2.11,01050002000087,19.17,54.94,4.87,55.1,5.7,1.2,12.78,266.7,758.6,17.9,9.4,16.6,84.7,150.3,100.7,54.7,30.5,25.7,34.5,62.1,35.1,622.1,54.67,18.36,14.86,8.69,2.41,0.00,1.02
01022260,0.74,4,1.71,01050002000278,10.20,5.85,3.54,52.8,6.1,1.1,12.63,658.0,760.0,20.8,11.1,21.3,93.3,156.1,105.5,57.2,31.2,26.7,37.4,68.2,40.6,669.4,51.29,25.02,4.62,19.07,0.00,0.00,0.00
01022330,0.77,5,1.17,01050002000329,10.82,33.16,3.86,49.4,3.4,2.0,12.44,108.7,759.9,17.2,8.8,15.0,81.3,147.2,100.2,54.3,30.2,26.2,35.1,61.6,33.7,610.9,56.30,21.46,2.80,9.77,9.28,0.00,0.39
01022500,0.83,5,1.49,01050002004202,7.26,16.91,2.52,50.6,3.7,1.7,12.48,115.5,760.0,19.7,10.5,20.7,92.0,151.3,99.4,53.9,29.5,25.5,35.8,65.7,38.6,642.3,55.66,20.92,5.32,7.96,9.97,0.00,0.16
01023000,0.68,4,1.79,01050002000504,13.18,19.98,3.84,50.3,4.1,2.2,12.47,130.5,758.6,15.1,8.0,13.3,79.7,135.6,83.8,45.7,25.8,24.2,31.7,55.0,29.8,547.7,61.09,11.60,8.74,17.12,0.00,0.00,1.45
01027200,0.41,3,1.84,01020001000151,13.04,20.19,1.05,47.0,3.0,2.8,12.03,190.3,771.0,12.0,6.0,3.8,34.8,119.4,109.5,63.5,41.4,38.1,47.9,47.9,23.3,547.7,64.19,24.72,11.09,0.00,0.00,0.00,0.00
01029200,0.52,4,1.42,01020002000049,20.85,55.75,5.59,52.7,3.0,1.6,12.46,216.7,754.7,11.1,5.8,5.1,51.6,120.3,77.5,43.5,27.4,24.3,33.7,44.8,21.8,466.8,60.44,21.68,13.99,3.90,0.00,0.00,0.00
01029500,0.53,5,1.37,01020002000004,19.37,63.24,5.52,51.7,3.2,1.8,11.91,222.7,757.1,12.1,6.0,5.3,48.5,120.5,91.5,53.8,34.8,30.3,39.8,48.3,23.6,514.5,60.66,16.18,13.02,7.47,1.88,0.00,0.80
01030000,0.52,6,1.51,01020005001740,26.27,91.88,7.29,50.1,3.2,1.8,11.91,218.1,764.6,12.5,6.2,5.3,46.9,121.5,96.2,55.9,36.2,32.1,42.2,49.7,24.4,529.1,57.71,20.51,10.35,6.82,2.49,1.14,0.98
01030500,0.58,5,2.20,01020003000022,14.34,63.43,2.63,54.0,4.6,1.5,12.65,523.6,646.3,13.5,6.9,9.6,70.4,132.5,83.5,45.9,27.4,24.4,33.6,52.0,26.2,525.9,57.30,21.25,12.26,7.74,0.51,0.00,0.95
01031300,0.70,4,1.75,01020004000264,11.32,20.36,2.43,46.0,3.2,2.0,11.58,132.9,738.7,15.1,7.7,5.3,46.5,136.0,139.0,79.0,47.5,43.0,56.9,61.2,29.7,666.8,63.01,24.21,8.22,4.56,0.00,0.00,0.00
01031450,0.78,4,1.74,01020004001387,8.67,12.47,2.89,45.9,3.2,2.3,11.42,123.3,738.4,15.9,8.0,7.4,60.6,141.4,122.6,68.1,40.4,37.4,51.9,63.5,31.4,648.7,65.78,17.28,10.88,6.05,0.00,0.00,0.00
01031500,0.74,5,1.55,01020004000247,9.83,19.71,2.31,46.0,3.3,2.3,11.57,138.0,738.5,15.4,7.9,7.1,56.8,139.0,123.9,69.2,41.1,37.7,51.5,61.7,30.4,641.7,62.67,19.46,8.51,7.09,1.92,0.00,0.35
01031510,0.88,3,1.61,01020004000353,7.16,14.86,2.11,48.7,4.4,2.1,12.48,232.2,731.2,15.0,7.4,9.8,70.6,138.0,94.6,51.6,29.4,28.8,39.7,57.8,29.0,571.8,71.78,13.37,14.85,0.00,0.00,0.00,0.00
01033000,0.71,5,1.94,01020004000144,20.82,47.87,7.51,48.1,3.3,1.8,11.48,99.0,738.2,14.9,7.4,7.1,56.5,136.3,113.5,64.0,38.2,35.2,47.3,58.9,29.2,608.5,60.96,18.20,9.69,6.92,2.74,0.00,1.49
01033500,0.72,5,1.72,01020004000416,7.96,3.86,2.02,50.0,3.1,1.5,11.28,99.5,739.7,15.9,7.8,6.9,55.0,136.8,124.1,74.0,46.2,42.5,54.0,63.0,30.9,657.2,60.36,17.90,10.87,5.99,2.01,0.00,2.87
01034000,0.74,6,1.41,01020004000044,12.52,36.61,3.37,48.4,3.3,1.9,11.56,179.6,738.8,15.3,7.6,7.5,58.7,136.8,114.5,65.2,39.2,36.3,48.4,60.4,29.9,619.7,61.01,17.41,9.51,5.40,4.65,0.51,1.51
01034500,0.58,7,1.30,01020005000167,19.89,73.81,5.40,50.8,3.6,1.7,12.07,289.2,728.9,13.5,6.7,7.2,56.9,128.0,95.6,54.6,33.9,30.5,40.7,52.9,26.3,546.9,57.95,20.18,10.52,6.38,2.38,1.38,1.21
01035000,0.62,4,1.96,01020005000115,19.13,19.26,7.61,52.4,4.2,1.6,12.58,252.5,702.2,15.4,8.0,12.0,75.8,139.9,91.6,50.0,28.4,26.1,34.5,57.6,30.2,569.4,54.96,22.71,12.26,9.19,0.00,0.00,0.89
01036500,0.72,4,1.43,01020005000375,1.53,6.82,0.30,47.6,4.4,3.0,12.47,286.9,700.2,14.1,7.1,14.7,85.9,126.9,74.9,40.1,22.7,21.0,28.8,50.6,27.6,514.3,59.54,19.76,10.53,9.16,0.00,0.00,1.01
01037380,0.96,3,2.61,01050002000671,8.87,9.05,3.82,50.0,5.9,5.0,11.92,117.2,756.3,24.2,14.2,33.6,113.7,151.0,92.4,50.1,26.7,24.5,37.0,71.7,46.7,686.0,66.49,14.09,19.42,0.00,0.00,0.00,0.00
01038000,0.66,4,1.20,01050003000167,16.97,30.24,4.02,51.3,5.8,4.4,12.35,118.4,630.0,18.2,11.0,30.3,111.6,139.8,81.5,43.5,24.0,19.5,27.6,57.0,36.6,600.6,52.02,28.18,18.68,1.09,0.00,0.00,0.02
01041000,0.46,5,1.98,01030001000048,27.09,45.64,13.33,47.3,3.5,1.9,12.15,229.4,625.9,12.6,6.3,4.0,37.8,123.1,118.7,72.7,47.2,42.5,51.0,51.2,24.8,591.8,59.00,20.87,13.36,5.04,1.18,0.00,0.55
01042500,0.48,5,3.31,01030001000001,26.69,52.94,11.51,47.1,3.5,1.9,12.05,238.0,625.8,12.6,6.3,4.1,38.2,122.8,116.8,71.0,45.7,41.3,50.0,51.1,24.7,584.6,58.56,21.29,12.17,4.56,2.81,0.00,0.62
01043500,0.39,4,1.90,01030002000319,21.43,55.48,6.55,45.8,4.0,2.4,11.29,79.3,643.6,12.2,6.1,3.7,33.4,121.4,133.6,84.9,53.4,44.6,52.6,49.7,24.0,619.5,61.39,16.55,12.97,9.08,0.00,0.00,0.02
01044550,0.41,4,1.39,01030002000024,18.14,0.00,3.20,45.7,4.2,2.6,10.95,71.3,642.7,11.6,5.9,3.4,31.3,118.4,129.8,81.0,50.5,43.1,50.8,47.7,23.1,596.9,59.24,24.09,7.56,9.11,0.00,0.00,0.00
01045000,0.39,5,1.94,01030002000636,22.78,67.40,4.92,45.6,4.0,2.4,11.18,77.2,643.5,12.0,6.0,3.7,34.1,120.6,128.2,80.5,50.3,42.2,50.4,49.2,23.8,601.1,59.64,19.34,9.50,9.09,2.42,0.00,0.01
01046000,0.50,3,1.34,01030003000339,8.17,6.79,2.08,45.2,4.1,2.2,11.52,160.8,679.2,15.8,8.0,5.8,49.5,138.3,139.7,84.3,53.1,49.1,60.5,64.2,31.2,699.4,56.42,25.05,18.53,0.00,0.00,0.00,0.00
01046500,0.45,6,2.97,01030003000338,25.50,60.55,8.68,46.4,3.7,2.1,11.67,170.9,636.1,12.6,6.3,4.1,38.0,123.0,120.7,74.1,47.0,41.5,50.2,51.2,24.8,593.4,58.49,21.01,10.98,5.38,2.54,1.17,0.43
01047000,0.43,4,1.80,01030003001865,5.63,9.03,0.86,46.1,3.7,2.8,11.16,82.5,675.1,15.6,7.9,7.7,59.6,139.2,132.8,84.7,53.7,43.4,54.6,63.1,31.1,693.3,59.67,23.02,8.43,7.20,0.00,0.00,1.68
01047150,0.45,6,2.72,01030003000326,23.65,66.22,7.48,46.4,3.7,2.2,11.60,156.1,642.6,13.0,6.5,4.9,42.4,124.9,120.0,73.7,46.6,40.7,49.7,52.5,25.6,600.4,58.19,21.29,10.41,5.42,2.12,1.98,0.58
01047200,0.39,2,1.50,01030003000477,7.62,15.28,1.02,44.0,2.9,3.0,10.57,31.4,677.2,15.3,7.8,5.0,43.4,136.9,152.3,94.8,59.6,50.7,63.2,62.5,30.3,721.8,87.40,12.60,0.00,0.00,0.00,0.00,0.00
01048000,0.42,4,1.83,01030003000439,9.38,27.73,1.22,48.9,3.6,3.3,11.16,113.0,676.4,15.6,7.9,10.5,69.8,141.0,120.8,70.7,43.0,35.8,48.2,62.1,31.2,656.7,59.13,21.35,5.01,14.28,0.00,0.00,0.22
01048220,0.79,3,1.34,01030003000298,9.70,7.57,1.83,45.0,4.1,2.7,11.69,119.8,676.0,15.2,7.6,9.3,67.9,137.3,105.9,59.0,35.5,33.4,45.2,60.8,30.4,607.4,48.91,7.52,43.57,0.00,0.00,0.00,0.00
01049000,0.64,5,2.15,01030003000131,16.94,46.22,4.48,45.9,4.2,3.0,12.34,462.0,676.6,14.6,7.5,14.7,85.0,130.1,80.4,43.4,25.1,23.0,32.6,54.5,29.0,539.8,60.32,20.91,11.53,5.81,1.14,0.00,0.29
01049265,0.50,6,2.44,01030003000049,20.35,72.77,6.06,47.2,4.0,2.7,11.81,199.0,656.0,13.8,7.1,9.9,60.6,126.6,106.3,63.3,39.2,33.9,43.1,53.3,27.3,584.4,59.23,19.83,10.16,6.37,1.79,1.96,0.66
01049500,0.60,4,2.59,01030003000658,34.25,66.11,9.66,55.6,6.3,4.7,12.98,144.9,676.6,16.2,9.7,28.7,108.5,127.0,73.8,39.4,22.4,17.1,23.1,48.4,32.1,546.4,62.43,14.03,17.58,3.36,0.00,0.00,2.60
01052500,0.41,4,1.46,01040001000084,1.09,0.00,0.44,48.4,4.1,3.7,10.74,43.4,667.2,14.0,7.0,4.2,38.8,129.6,153.1,100.3,71.3,62.5,67.5,57.0,27.9,733.0,63.74,15.58,19.78,0.90,0.00,0.00,0.00
01053500,0.37,5,1.59,01040001000024,24.64,53.54,8.51,47.4,4.3,2.7,11.31,81.9,667.1,12.8,6.4,4.0,37.0,124.3,134.1,84.7,57.9,50.4,57.3,52.2,25.4,646.5,54.38,20.65,15.99,6.58,0.60,0.00,1.79
01053600,0.36,5,1.56,01040001000446,24.48,60.89,7.68,47.6,4.3,2.7,11.26,80.1,667.1,12.8,6.3,4.1,39.0,124.6,131.0,82.3,56.1,49.0,56.0,52.1,25.4,638.8,56.08,19.23,14.96,5.86,2.27,0.00,1.60
01054000,0.37,5,1.54,01040001000006,24.09,69.80,6.75,47.6,4.1,2.4,11.21,73.7,667.1,12.9,6.4,4.6,42.0,124.6,126.9,79.1,53.8,47.2,54.8,52.5,25.7,630.6,56.54,19.18,13.22,4.95,4.65,0.00,1.46
01054200,0.38,3,1.21,01040002000115,1.37,3.68,0.04,47.4,2.0,0.1,9.88,15.5,719.3,18.3,9.2,9.7,64.4,141.7,132.2,83.9,56.7,50.2,66.9,72.6,36.2,742.0,66.44,26.76,6.81,0.00,0.00,0.00,0.00
01054300,0.46,3,2.00,01040002000075,2.11,5.16,1.62,47.1,3.7,1.6,10.83,71.2,717.9,15.5,7.8,8.8,64.5,137.7,115.2,67.2,42.4,36.1,50.1,62.6,31.0,638.9,59.08,25.36,13.35,0.00,0.00,0.00,2.21
01054500,0.39,5,1.42,01040002000750,20.00,80.23,4.68,47.6,3.7,1.8,10.92,59.9,681.7,14.3,7.1,6.8,51.7,128.2,122.3,76.6,52.1,45.5,55.1,57.2,28.3,645.4,57.79,18.22,12.24,3.10,6.76,0.00,1.90
01055000,0.38,3,1.36,01040002000055,0.97,1.30,0.21,45.7,2.9,2.4,10.34,23.9,717.7,15.7,7.7,6.3,50.3,136.3,140.1,88.0,56.1,47.3,61.6,63.2,30.9,703.6,64.89,15.90,19.22,0.00,0.00,0.00,0.00
01055500,0.41,3,1.53,01040002000127,7.61,8.90,1.75,53.1,3.9,1.1,11.98,120.0,719.0,15.6,8.6,21.7,98.4,129.8,80.0,43.0,24.8,19.3,29.6,54.7,31.3,556.6,55.19,35.54,9.27,0.00,0.00,0.00,0.00
01057000,0.41,3,1.35,01040002000183,8.74,6.99,1.85,52.0,3.1,0.0,11.93,25.3,717.0,14.5,7.6,15.5,88.0,126.4,82.1,44.4,26.2,20.8,33.6,54.2,29.0,542.2,74.91,13.50,11.59,0.00,0.00,0.00,0.00
01058500,0.43,4,1.62,01040002000159,13.53,7.18,4.88,54.9,4.1,0.7,12.02,264.3,716.8,16.4,9.3,25.4,103.4,129.8,79.4,42.4,24.3,19.2,30.5,55.9,32.8,568.9,66.38,13.25,11.05,8.18,0.00,0.00,1.14
01059000,0.40,5,2.18,01040002000020,20.72,90.30,4.44,49.4,3.8,1.7,11.19,99.8,695.1,14.9,7.7,11.7,66.6,129.2,110.0,66.6,43.6,37.4,47.5,56.9,29.5,621.7,58.07,17.97,12.36,3.06,7.08,0.00,1.45
01059800,0.54,2,1.62,01060001000853,1.79,0.00,2.28,59.5,4.0,0.0,11.57,77.4,578.0,18.8,11.8,36.2,116.8,131.0,76.0,40.2,22.8,18.0,26.6,56.0,37.4,591.6,80.36,19.64,0.00,0.00,0.00,0.00,0.00
01060000,0.75,4,2.28,01060001000032,5.51,12.01,1.16,58.6,4.7,1.2,12.79,421.5,583.1,19.8,12.6,39.0,118.4,129.2,74.8,39.4,22.2,17.6,25.3,54.5,38.3,591.2,52.85,23.67,17.73,5.75,0.00,0.00,0.00
01064000,0.62,5,1.34,01060001000442,32.57,79.57,17.12,54.8,4.1,0.6,12.28,83.2,581.8,17.5,9.9,26.0,105.5,135.3,82.7,44.3,25.7,20.8,34.7,60.7,35.2,598.4,53.03,20.83,12.03,11.62,2.38,0.00,0.11
01064118,0.71,5,1.46,01060001000056,24.97,71.04,13.47,55.7,3.8,0.6,12.34,119.5,581.1,18.5,11.1,30.7,109.3,131.7,79.1,42.2,24.5,19.7,32.5,59.5,36.5,595.3,53.56,19.81,12.02,10.33,4.20,0.00,0.08
01064300,0.37,2,1.16,01060002000132,0.00,0.00,0.04,47.5,2.0,2.0,8.72,17.0,745.1,22.1,10.7,7.6,51.6,150.2,195.0,165.1,123.6,104.1,106.9,88.4,43.4,1068.6,42.03,57.97,0.00,0.00,0.00,0.00,0.00
01064400,0.33,1,1.06,01060002000385,0.00,0.00,0.00,50.6,2.2,0.0,8.90,24.4,747.0,20.3,10.5,17.1,89.1,162.7,135.3,81.4,52.6,47.6,63.5,78.3,40.4,798.9,100.00,0.00,0.00,0.00,0.00,0.00,0.00
01064500,0.49,5,1.81,01060002001662,3.86,9.61,0.46,50.6,2.1,0.2,10.37,20.8,747.0,20.2,10.3,13.5,76.5,158.6,151.1,100.7,68.5,60.8,73.5,79.2,40.2,853.0,60.98,20.00,13.94,4.23,0.55,0.00,0.30
01064801,1.02,4,1.27,01060002000211,1.85,7.56,0.75,55.1,2.2,0.0,11.12,25.5,746.4,18.4,9.2,15.7,86.0,156.3,124.5,76.6,50.4,45.7,59.0,71.1,36.3,749.1,62.61,22.55,8.33,6.50,0.00,0.00,0.00
01065000,0.87,5,2.29,01060002000201,7.13,52.86,4.11,58.2,2.7,0.1,11.48,66.4,745.2,17.8,9.4,20.4,96.3,146.8,102.6,59.5,36.8,32.5,46.0,65.0,35.5,668.4,57.48,20.77,12.82,4.06,3.48,0.00,1.40
01065500,0.85,5,2.14,01060002000183,9.61,58.13,3.83,58.5,2.7,0.1,11.49,69.4,745.7,17.9,9.6,21.5,98.9,146.2,99.2,56.6,34.4,30.1,44.0,64.9,35.7,659.0,57.68,21.17,10.81,3.15,5.28,0.00,1.90
01066000,0.66,6,2.19,01060002001637,13.97,60.95,3.33,54.1,2.7,0.1,11.35,48.5,746.0,18.6,9.7,19.2,92.6,149.1,112.9,68.0,43.3,38.0,52.2,69.3,37.1,710.1,57.77,19.88,11.19,3.01,6.14,0.03,1.96
01066500,0.96,5,1.83,01060002000241,16.19,38.48,4.46,56.9,2.9,0.0,12.11,37.6,745.5,19.3,11.8,34.0,115.9,134.2,77.7,41.6,23.5,19.2,31.6,60.4,38.1,607.5,55.44,22.13,11.10,4.56,3.96,0.00,2.81
01067950,1.01,4,1.53,01060003000025,3.35,0.00,1.78,53.9,3.1,0.2,12.26,139.0,616.8,24.5,19.3,55.6,124.5,104.4,57.9,30.9,17.7,14.0,22.0,53.9,43.6,568.3,49.65,7.58,21.52,17.08,0.00,0.00,4.17
01068910,0.97,4,2.08,01060003001470,15.90,33.41,8.48,55.1,3.8,0.1,12.17,40.9,614.4,23.8,16.7,48.1,127.8,130.0,74.2,39.5,23.0,20.3,31.8,64.3,44.9,644.5,53.65,18.80,6.95,13.66,0.00,0.00,6.94
01069500,0.99,5,1.35,01060003000039,14.35,30.14,4.97,54.5,3.6,0.0,12.38,47.2,621.5,23.8,17.3,50.5,126.8,122.5,69.0,36.8,21.5,18.3,28.8,60.7,44.0,619.9,56.79,12.52,15.04,10.37,0.95,0.00,4.33
01069700,0.84,2,1.19,01060003001432,3.39,0.00,0.52,51.9,3.6,0.6,13.28,201.0,613.0,24.5,19.1,55.6,124.0,103.3,57.4,30.5,17.9,13.9,22.5,53.5,43.1,565.3,58.59,41.41,0.00,0.00,0.00,0.00,0.00
01072500,0.76,4,1.50,01060003001822,14.37,42.51,5.77,55.8,3.9,1.2,11.94,91.4,613.6,19.7,13.5,40.1,117.1,117.9,65.7,35.3,20.1,16.3,26.0,52.5,37.7,561.9,56.95,17.23,15.07,8.34,0.00,0.00,2.41
01072800,0.69,4,1.51,01060003000130,7.49,7.30,2.54,53.3,3.2,1.3,11.60,43.5,611.9,19.4,14.2,43.1,115.6,105.6,58.8,31.8,18.4,14.5,22.9,47.5,35.8,527.8,50.50,26.69,8.28,14.11,0.00,0.00,0.43
01072870,0.74,4,1.60,01060003000957,13.12,15.36,5.04,48.6,3.9,1.5,11.72,68.5,610.0,20.4,15.4,46.1,116.5,102.1,57.8,31.5,18.7,15.1,24.1,48.6,36.4,532.7,58.64,10.75,14.46,12.65,0.00,0.00,3.50
01073000,1.00,3,1.27,01060003000177,3.57,0.00,1.72,47.9,3.4,0.9,11.98,39.6,613.0,19.3,15.3,47.5,112.0,90.8,51.1,28.1,16.6,13.6,22.0,44.7,34.4,495.3,64.99,6.61,28.39,0.00,0.00,0.00,0.00
01073319,0.96,4,1.38,01060003000712,7.76,13.12,1.11,47.1,3.5,0.7,11.86,42.0,591.4,20.8,15.7,46.4,116.1,98.9,56.2,30.7,18.2,15.6,25.3,49.0,37.0,529.9,62.79,19.25,14.37,2.58,0.00,0.00,1.00
01073500,0.95,5,2.30,01060003001871,10.37,2.02,2.33,47.2,3.6,0.9,12.18,48.9,605.8,21.2,16.9,49.4,116.3,95.6,54.3,29.6,17.7,14.9,23.8,47.7,37.5,524.9,56.35,19.30,10.33,9.83,3.51,0.00,0.68
010735562,0.60,2,1.38,01060003000491,8.33,9.73,2.05,49.9,4.9,1.0,11.97,124.8,603.1,24.6,21.1,57.7,117.7,89.2,51.4,28.4,16.4,14.9,24.3,48.7,41.5,535.7,60.15,39.85,0.00,0.00,0.00,0.00,0.00
01073587,0.64,3,1.43,01060003000487,6.36,4.30,0.98,48.2,4.3,0.9,12.55,97.9,609.5,23.7,20.0,55.7,117.2,89.5,51.6,28.3,16.5,14.6,23.6,47.8,40.3,528.8,53.80,26.99,19.21,0.00,0.00,0.00,0.00
01073600,0.44,2,1.16,01060003000482,0.00,0.00,0.71,45.2,4.0,1.0,12.14,85.9,613.0,23.4,20.4,57.3,116.3,88.8,50.7,28.0,16.2,14.0,22.5,46.9,40.1,524.7,65.28,34.72,0.00,0.00,0.00,0.00,0.00
01073785,0.80,2,1.82,01060003000439,0.00,0.00,0.69,49.2,3.8,0.0,12.71,76.2,613.0,28.9,24.9,63.3,121.8,96.8,55.7,30.7,17.3,15.0,25.0,53.7,47.6,580.7,62.52,37.48,0.00,0.00,0.00,0.00,0.00
01074520,0.41,3,1.25,01070001000021,1.29,2.22,0.09,46.7,1.6,0.0,10.00,7.1,776.3,19.7,9.7,7.8,56.7,152.3,183.9,136.5,96.7,84.9,88.5,79.8,39.1,955.5,61.53,21.55,16.92,0.00,0.00,0.00,0.00
01075000,0.48,4,1.10,01070001000156,4.72,29.56,0.21,47.3,1.7,0.0,10.10,7.4,776.4,18.9,9.6,9.6,65.1,151.0,158.4,111.9,78.2,70.5,77.3,76.0,37.6,864.1,58.68,20.87,16.19,2.84,0.00,0.00,1.42
01075800,0.66,2,2.15,01070001000512,0.00,0.00,0.00,45.3,2.0,0.0,9.26,11.6,778.0,18.1,10.1,17.4,90.1,151.3,104.9,61.6,39.8,39.3,54.3,70.2,36.6,693.6,73.65,26.35,0.00,0.00,0.00,0.00,0.00
01076000,0.79,5,1.44,01070001000077,3.56,0.00,0.71,47.3,1.8,0.0,10.68,15.5,771.5,16.5,9.0,16.4,87.1,137.1,89.7,52.9,33.9,33.7,47.8,62.9,32.8,619.7,55.57,20.90,11.01,6.79,2.42,0.00,3.30
01076500,0.68,6,1.16,01070001000011,5.62,68.99,0.51,49.0,1.8,0.0,10.37,11.6,776.2,17.8,9.3,14.2,79.4,146.0,121.0,78.6,52.7,49.1,60.4,69.3,35.3,733.2,57.14,20.16,8.69,6.14,3.37,0.05,4.45
01077000,0.53,3,1.78,01070001000006,41.42,78.07,20.83,58.7,2.0,0.0,12.20,20.4,772.2,14.8,8.0,19.0,93.1,129.4,76.9,44.4,25.9,22.6,34.6,53.9,29.3,551.7,54.29,26.43,11.50,0.00,0.00,0.00,7.79
01077400,0.67,3,1.15,01070001000118,0.00,0.00,0.39,51.7,2.0,0.0,10.02,10.9,778.0,17.1,9.4,18.5,88.7,143.3,92.8,54.7,33.7,32.3,47.9,63.8,34.3,636.4,79.51,19.84,0.65,0.00,0.00,0.00,0.00
